gen#;sumfit;avgfit;minfit;maxfit
1;349.201;17.4601;12.8314;26.1298
2;453.232;22.6616;7.49286;47.3202
3;461.94;23.097;7.49286;82.1969
4;509.344;25.4672;5.55247;94.6804
5;467.365;23.3683;5.55247;68.4064
6;404.56;20.228;2.474;55.1428
7;386.068;19.3034;2.474;49.7701
8;284.923;14.2462;2.474;41.404
9;389.934;19.4967;2.474;118.687
10;294.39;14.7195;2.474;60.8809
11;308.684;15.4342;2.474;60.8809
12;264.43;13.2215;2.47099;34.8765
13;207.466;10.3733;1.91977;48.0825
14;241.059;12.0529;1.58817;48.0825
15;199.478;9.97389;1.58817;48.0825
16;140.244;7.01222;1.58817;28.9181
17;136.103;6.80517;1.58817;18.8496
18;179.953;8.99766;1.46415;24.324
19;194.612;9.73059;1.46415;27.6569
20;180.384;9.01922;1.46415;25.1173
21;207.797;10.3899;1.46415;22.0084
22;199.336;9.96682;1.46415;43.8377
23;168.77;8.43848;1.46415;21.4706
24;162.13;8.1065;1.44491;20.1126
25;149.127;7.45636;1.44491;32.4008
26;113.603;5.68014;1.44491;12.8029
27;112.522;5.62612;1.2839;23.994
28;89.7036;4.48518;1.2839;15.3718
29;79.9455;3.99727;1.12647;12.3462
30;64.9219;3.24609;1.12647;7.26224
31;67.7297;3.38648;1.12647;7.60056
32;56.7799;2.839;1.12647;9.17939
33;46.5075;2.32538;1.1202;7.26224
34;37.128;1.8564;1.1202;3.33632
35;39.7064;1.98532;1.10051;7.26224
36;40.0903;2.00451;1.06073;7.59262
37;47.3505;2.36752;1.06073;7.59262
38;34.192;1.7096;1.06073;3.86347
39;32.6309;1.63154;1.02883;3.18166
40;33.6802;1.68401;1.02883;3.3467
41;29.7333;1.48666;1.02883;2.04623
42;31.0795;1.55397;1.02883;3.57271
43;25.4803;1.27402;0.695196;2.52864
44;22.7463;1.13731;0.695196;1.47371
45;22.7551;1.13775;0.695196;1.34253
46;22.7332;1.13666;0.695196;1.33457
47;22.5899;1.1295;0.695196;1.4506
48;22.0266;1.10133;0.695196;1.4506
49;20.4207;1.02103;0.458105;1.32877
50;20.4246;1.02123;0.458105;1.24718
51;19.987;0.999348;0.458105;1.16236
52;19.8973;0.994865;0.458105;1.12992
53;19.2808;0.964042;0.316429;1.20746
54;19.5401;0.977004;0.265247;1.15509
55;17.9338;0.896691;0.265247;1.21301
56;16.5036;0.825181;0.265247;1.1487
57;17.4341;0.871706;0.265247;1.06364
58;15.9442;0.797212;0.265247;1.05039
59;15.3201;0.766003;0.202746;1.08022
60;15.684;0.784198;0.122706;1.05143
61;13.373;0.66865;0.122706;1.02312
62;13.075;0.65375;0.122706;1.02312
63;11.8578;0.592888;0.0741764;1.02933
64;13.4131;0.670653;0.0741764;1.02933
65;12.7881;0.639405;0.0741764;1.00214
66;11.9221;0.596107;0.0741764;0.990701
67;11.8242;0.59121;0.0741764;0.983692
68;11.4686;0.57343;0.0741764;1.0099
69;10.6732;0.533661;0.0741764;0.990701
70;8.31823;0.415911;0.0741764;0.831137
71;8.34079;0.417039;0.0683475;1.02234
72;6.66425;0.333212;0.0683475;0.769595
73;6.98367;0.349183;0.0240196;1.00897
74;5.81036;0.290518;0.0240196;0.72853
75;5.32103;0.266052;0.0178536;0.968381
76;3.26865;0.163433;0.0178536;0.413919
77;3.01968;0.150984;0.0178536;0.649208
78;2.10386;0.105193;0.0178536;0.287484
79;1.88116;0.0940582;0.0178536;0.328197
80;1.59347;0.0796734;0.00218043;0.255783
81;1.12192;0.0560958;0.00218043;0.159821
82;1.05365;0.0526823;0.00218043;0.184296
83;0.728831;0.0364416;0.00218043;0.115309
84;0.897108;0.0448554;0.00218043;0.115309
85;1.18614;0.0593072;0.00218043;0.315208
86;1.01876;0.050938;0.00218043;0.124142
87;1.24438;0.0622189;0.00218043;0.211644
88;1.08672;0.0543362;0.000975667;0.270959
89;0.795822;0.0397911;0.000975667;0.124142
90;0.603182;0.0301591;0.000975667;0.0798163
91;0.514351;0.0257175;0.000975667;0.0905059
92;0.472872;0.0236436;0.000975667;0.0533184
93;0.516464;0.0258232;0.000791375;0.117864
94;0.366783;0.0183391;0.000791375;0.0742266
95;0.28925;0.0144625;0.000791375;0.0572516
96;0.163984;0.00819918;0.000791375;0.049023
97;0.140262;0.0070131;0.000791375;0.0194109
98;0.128016;0.0064008;0.000791375;0.0168982
99;0.0978006;0.00489003;0.000791375;0.0154377
100;0.502276;0.0251138;0.00056675;0.287615
101;0.53488;0.026744;0.000322861;0.287615
102;0.44526;0.022263;0.000322861;0.0928407
103;0.314732;0.0157366;0.000322861;0.0754581
104;0.299415;0.0149708;0.000322861;0.0792579
105;0.194459;0.00972294;0.000322861;0.0578004
106;0.142794;0.00713971;0.000322861;0.032516
107;0.109503;0.00547517;0.000199888;0.0524415
108;0.674843;0.0337421;0.000145819;0.610817
109;0.0729731;0.00364866;0.000145819;0.0306239
110;0.0498124;0.00249062;6.45617e-005;0.0106479
111;0.0575056;0.00287528;6.45617e-005;0.0106479
112;0.0644624;0.00322312;2.69725e-005;0.0240987
113;0.0309449;0.00154725;2.69725e-005;0.00779894
114;0.0303187;0.00151594;2.69725e-005;0.0057359
115;0.0198705;0.000993526;2.69725e-005;0.00330392
116;0.0143516;0.000717581;2.69725e-005;0.00223742
117;0.0149131;0.000745655;2.69725e-005;0.00362792
118;0.016452;0.0008226;2.69725e-005;0.00362792
119;0.0172165;0.000860823;1.62493e-005;0.00324123
120;0.322175;0.0161088;1.62493e-005;0.162693
121;0.156249;0.00781247;1.62493e-005;0.143383
122;0.00835149;0.000417574;1.62493e-005;0.00213943
123;0.00480374;0.000240187;1.62493e-005;0.00122831
124;0.00351452;0.000175726;1.62493e-005;0.000465253
125;0.00302445;0.000151223;1.21402e-005;0.000465253
126;0.00247065;0.000123532;1.21402e-005;0.000204989
127;0.00300572;0.000150286;1.06153e-005;0.000536403
128;0.0028316;0.00014158;1.06153e-005;0.00047304
129;0.00241651;0.000120826;1.06153e-005;0.000296706
130;0.00199071;9.95357e-005;1.06153e-005;0.000296706
131;0.00177939;8.89697e-005;1.06153e-005;0.000296706
132;0.00217393;0.000108696;1.06153e-005;0.000631159
133;0.00253396;0.000126698;1.06153e-005;0.000389632
134;0.00269784;0.000134892;2.73736e-006;0.000792868
1;363.179;18.159;13.2227;23.0943
2;512.403;25.6202;7.78407;58.9419
3;459.785;22.9892;5.90281;92.9975
4;548.61;27.4305;4.87493;92.9975
5;568.849;28.4424;3.38232;114.991
6;751.63;37.5815;3.07529;236.125
7;584.855;29.2427;3.07529;97.0161
8;390.644;19.5322;3.07529;73.9698
9;298.379;14.919;3.07529;46.2079
10;275.146;13.7573;2.02333;45.4075
11;277.526;13.8763;2.02333;54.3984
12;351.089;17.5544;2.02333;63.0252
13;297.641;14.8821;2.02333;60.996
14;190.999;9.54996;1.58196;28.3138
15;155.108;7.75539;1.58196;18.5394
16;177.947;8.89735;1.58196;35.0074
17;117.209;5.86044;1.58196;14.9838
18;139.968;6.99839;1.2247;17.5026
19;135.318;6.76591;1.18361;25.5557
20;94.8964;4.74482;1.18361;12.2995
21;87.0725;4.35362;1.14281;15.2071
22;79.9276;3.99638;1.03356;15.2071
23;64.7086;3.23543;1.03356;8.14129
24;61.4293;3.07146;1.03356;6.40767
25;46.589;2.32945;1.03356;6.56683
26;37.8235;1.89117;1.03356;3.11704
27;37.0873;1.85436;1.03356;4.5899
28;29.6839;1.4842;1.03356;2.63582
29;27.7244;1.38622;1.03356;2.5144
30;25.7152;1.28576;1.03152;2.16091
31;26.3867;1.31934;1.02106;2.16091
32;26.48;1.324;1.01843;2.57535
33;28.083;1.40415;1.01731;5.91294
34;27.0602;1.35301;1.01731;2.61743
35;26.0355;1.30177;1.00024;1.94588
