dim;size;gen#;spawn(ms);sumSelect(ms);sumCross(ms);sumMutate(ms);sumEval(ms)
5;20;46;0.575392;10.8833;3.2864;2.08717;15.5527
5;20;21;0.048544;4.82045;1.46592;0.974688;6.61475
5;20;309;0.03776;75.2251;22.8663;14.8555;98.7298
5;20;71;0.067552;17.1126;5.14029;3.32781;22.9505
5;20;48;0.042496;11.3769;3.46205;2.21699;15.6123
5;20;128;0.04368;30.8951;9.34918;5.9784;40.5162
5;20;211;0.043008;51.3077;15.6171;10.2799;67.0638
5;20;155;0.043552;37.1727;11.3283;7.33872;49.699
5;20;12;0.041088;2.6391;0.800224;0.512864;3.73936
5;20;41;0.042112;9.75584;2.94054;1.88506;12.9636
5;20;21;0.039264;4.90294;1.4601;0.965728;6.68835
5;20;9;0.036928;2.01402;0.582432;0.370048;2.81629
5;20;189;0.036512;45.0891;13.7774;8.85773;59.6763
5;20;81;0.03824;19.372;5.94787;3.8231;26.0348
5;20;17;0.043392;3.81741;1.16781;0.742304;5.38128
5;20;14;0.064544;3.15968;0.945696;0.645248;4.51968
5;20;349;0.041856;84.0728;25.4143;16.4437;109.429
5;20;124;0.038176;30.3294;9.13981;6.02496;39.3253
5;20;96;0.03888;22.8172;6.97181;4.46192;30.3013
5;20;63;0.03632;15.2406;4.812;2.96576;20.663
5;20;174;0.038464;41.372;12.6735;8.08976;54.8659
5;20;29;0.042432;6.62982;2.05738;1.30019;9.2073
5;20;324;0.040448;77.0659;23.5551;15.2517;102.334
5;20;431;0.042752;104.448;31.9145;20.5179;138.026
5;20;29;0.067808;6.73354;2.05261;1.32835;9.26899
5;20;277;0.051168;67.2837;20.3992;13.2941;87.8278
5;20;111;0.042592;26.0106;8.07347;5.17034;34.7547
5;20;151;0.063968;36.3591;11.1047;7.15603;48.0527
5;20;11;0.074304;2.41037;0.741248;0.480224;3.50288
5;20;363;0.052704;88.7955;26.8339;17.2461;116.611
5;20;311;0.049504;74.6379;22.6966;14.5748;97.9146
5;20;90;0.043712;21.0649;6.3927;4.10883;28.2671
5;20;126;0.048384;30.9662;9.3793;6.1472;40.74
5;20;138;0.039584;33.4465;10.0317;6.4248;44.2135
5;20;516;0.078784;125.121;38.1246;24.8344;163.409
5;20;169;0.053216;40.5634;12.4624;7.94333;53.3646
5;20;77;0.051168;18.3964;5.56541;3.7289;24.7268
5;20;529;0.058464;127.225;38.7403;24.9829;167.515
5;20;134;0.065568;32.399;9.93629;6.36087;42.7402
5;20;184;0.05312;44.8642;13.6079;8.82413;58.2044
5;20;72;0.087488;17.3057;5.26768;3.45667;23.1046
5;20;131;0.043424;31.7195;9.56445;6.12093;41.9526
5;20;161;0.114432;38.8977;11.8775;7.6369;51.5024
5;20;255;0.045088;61.6993;18.7769;12.1031;80.7175
5;20;135;0.07408;33.1955;10.0244;6.55165;43.2788
5;20;246;0.041344;60.089;18.158;11.6694;78.4703
5;20;20;0.059296;4.65402;1.41485;0.894688;6.63027
5;20;254;0.038528;61.4201;18.8504;12.0264;80.9092
5;20;247;0.051456;60.0573;18.3361;12.0631;78.5226
5;20;217;0.081024;52.5144;16.004;10.2879;69.255
