gen#;sumfit;avgfit;minfit;maxfit
1;3300.46;165.023;146.51;182.386
2;4758.68;237.934;70.7044;424.502
3;4293.21;214.66;21.559;506.569
4;2640.37;132.019;21.559;443.722
5;2754.37;137.719;0;351.014
1;3367.37;168.368;151.521;180.702
2;4442.77;222.138;72.2108;444.247
3;5450.84;272.542;39.9677;981.843
4;5481.67;274.083;27.4106;981.843
5;3417.68;170.884;27.4106;454.476
6;4329.42;216.471;26.7667;1075.61
7;2612.08;130.604;13.986;577.113
8;2809.92;140.496;13.986;499.93
9;1868.98;93.449;13.986;190.921
10;1784.32;89.2161;13.986;190.921
11;2549.33;127.466;10.1988;400.779
12;1781.84;89.0919;10.1988;281.112
13;1545.47;77.2735;10.1988;217.826
14;1249.18;62.459;10.1988;149.254
15;1278.97;63.9487;6.85793;148.635
16;1210.2;60.5098;6.85793;149.075
17;942.864;47.1432;6.85793;153.888
18;1017.68;50.8842;6.85793;177.973
19;1348.33;67.4163;4.08011;334.844
20;765.528;38.2764;4.08011;163.913
21;572.356;28.6178;2.90508;135.894
22;379.109;18.9555;2.90508;60.1558
23;454.941;22.747;2.26578;87.809
24;354.49;17.7245;2.26578;46.5175
25;416.741;20.837;2.05502;65.4414
26;373.68;18.684;1.55501;41.3214
27;284.733;14.2366;1.55501;46.018
28;341.208;17.0604;1.43156;78.6924
29;295.708;14.7854;1.38242;60.6664
30;299.027;14.9513;1.25975;90.9012
31;215.331;10.7665;1.19451;42.7515
32;171.939;8.59694;1.19451;38.3596
33;111.507;5.57535;1.19451;16.0968
34;119.213;5.96066;1.19451;18.3823
35;90.495;4.52475;1.19451;17.1554
36;72.9345;3.64673;1.19138;6.10028
37;66.5295;3.32647;1.19138;5.36686
38;62.77;3.1385;1.09994;6.70638
39;54.5947;2.72974;1.09994;5.6747
40;47.032;2.3516;1.02958;5.41285
41;40.2267;2.01134;1.02958;3.67073
42;42.1821;2.1091;0.500108;6.6996
43;33.9826;1.69913;0.328605;4.40732
44;26.8509;1.34254;0.328605;2.06908
45;27.2915;1.36458;0.328605;2.03101
46;25.4875;1.27437;0.328605;2.02115
47;23.229;1.16145;0.328605;1.48189
48;24.5328;1.22664;0.302575;2.55762
49;20.8302;1.04151;0.302575;1.27081
50;19.711;0.985548;0.302575;1.27655
51;19.8644;0.993218;0.302575;1.21762
52;18.1366;0.906828;0.302575;1.28737
53;16.8948;0.844741;0.162828;1.28737
54;16.3631;0.818155;0.162828;1.28737
55;17.3102;0.86551;0.110298;1.28245
56;15.8816;0.794078;0.110298;1.09833
57;15.6183;0.780913;0.110298;1.09833
58;14.2025;0.710125;0.104548;1.09833
59;12.8772;0.643862;0.0845328;1.20679
60;8.99312;0.449656;0.0472351;0.983062
61;7.33777;0.366889;0.0472351;0.864484
62;6.26263;0.313131;0.0266126;0.900993
63;6.60184;0.330092;0.0266126;0.830511
64;4.98047;0.249024;0.0266126;0.605599
65;4.9879;0.249395;0.00697798;0.886103
66;3.39591;0.169795;0.00697798;0.521198
67;2.90682;0.145341;0.00697798;0.410056
68;1.82205;0.0911023;0.00697798;0.1857
69;1.96748;0.0983739;0;0.34609
1;3353.59;167.68;153.29;185.546
2;4468.97;223.448;75.2544;478.378
3;4396.49;219.825;39.3524;478.939
4;4360.86;218.043;34.783;1060.54
5;4453.9;222.695;34.783;1514.63
6;2702.41;135.12;34.783;401.737
7;2678.37;133.918;34.783;370.153
8;1943.46;97.1731;14.0032;183.37
9;2359.38;117.969;14.0032;373.88
10;1890.42;94.5211;14.0032;243.892
11;1527.08;76.3541;8.36266;352.01
12;825.756;41.2878;8.36266;132.814
