dim;size;gen#;spawn(ms);sumSelect(ms);sumCross(ms);sumMutate(ms);sumEval(ms)
10;20;3;0.05152;0.07456;0.078048;0.086016;0.12336
10;20;10;0.072448;0.320256;0.388096;0.323872;0.38384
10;20;14;0.040384;0.411168;0.501376;0.412288;0.494144
10;20;37;0.046432;1.12861;1.38253;1.14512;1.39254
10;20;16;0.039808;0.472128;0.584064;0.476256;0.560544
10;20;41;0.039712;1.27005;1.63373;1.2759;1.43514
10;20;39;0.0408;1.20198;1.5369;1.24893;1.40438
10;20;73;0.043584;2.2688;2.6447;2.30816;2.48598
10;20;90;0.040992;2.95011;3.34589;3.02538;3.00957
10;20;11;0.103296;0.36832;0.451456;0.363296;0.471616
10;20;32;0.049024;1.41565;1.33933;1.10691;1.48202
10;20;36;0.043808;1.06077;1.41318;1.1201;1.2159
10;20;32;0.047296;0.972192;1.15741;0.971072;1.08045
10;20;61;0.046976;1.90938;2.27811;1.98493;2.03802
10;20;37;0.043776;1.18051;1.40288;1.1823;1.31974
10;20;19;0.043648;0.66704;0.689088;0.57088;0.67008
10;20;18;0.041056;0.536192;0.659776;0.54;0.628512
10;20;12;0.039936;0.347168;0.420608;0.349984;0.420352
10;20;75;0.039936;2.4393;2.7767;2.44448;2.82771
10;20;74;0.049568;2.2952;2.62035;2.30064;2.39325
10;20;36;0.039968;1.25536;1.51923;1.35408;1.44061
10;20;34;0.050048;1.07638;1.38454;1.05491;1.18685
10;20;24;0.044224;0.693408;0.859552;0.705568;0.838272
10;20;41;0.0424;1.27453;1.58378;1.25994;1.47443
10;20;33;0.04688;0.991232;1.20947;0.999936;1.23139
10;20;90;0.047968;2.74723;3.25405;2.88906;2.89718
10;20;53;0.075584;1.62618;1.91459;1.7007;1.91462
10;20;89;0.07344;2.74982;3.23453;2.76198;3.30227
10;20;4;0.079424;0.12336;0.121344;0.09472;0.179776
10;20;76;0.0504;2.46851;2.8607;2.40592;2.57658
10;20;12;0.073824;0.382432;0.463488;0.373536;0.445184
10;20;7;0.044704;0.192224;0.232;0.1864;0.257408
10;20;47;0.043424;1.47379;1.82707;1.60406;1.9671
10;20;24;0.043168;0.73744;0.8864;0.727264;0.897568
10;20;29;0.051008;0.916;1.12618;1.04566;1.05443
10;20;16;0.04416;0.453696;0.552224;0.46272;0.552256
10;20;13;0.042816;0.556768;0.48432;0.424064;0.485984
10;20;56;0.071552;1.70064;2.04614;1.79437;1.93363
10;20;57;0.053568;1.86704;2.12598;1.91571;2.12938
10;20;45;0.045248;1.39491;1.76621;1.4977;1.56915
10;20;12;0.054624;0.358016;0.456064;0.346528;0.42016
10;20;30;0.042592;0.920736;1.2591;0.938528;1.29366
10;20;4;0.05024;0.094144;0.117152;0.095296;0.139968
10;20;69;0.052992;2.35661;2.54736;2.20992;2.43037
10;20;6;0.10624;0.236;0.291744;0.33696;0.362624
10;20;32;0.075328;1.16915;1.25814;1.16275;1.2521
10;20;27;0.078112;0.948544;1.23696;1.052;1.28022
10;20;5;0.095488;0.216448;0.18576;0.158208;0.237888
10;20;58;0.059488;2.25549;2.32096;1.97706;2.76582
10;20;70;0.049024;2.40838;2.80474;2.36682;2.83363
