gen#;sumfit;avgfit;minfit;maxfit
1;1690.29;169.029;159.179;178.149
2;2368.53;236.853;79.3547;458.617
3;2507.19;250.719;24.5053;916.358
4;990.076;99.0076;24.5053;168.77
5;1242.67;124.267;8.08727;344.214
6;916.994;91.6994;8.08727;168.225
7;1051.01;105.101;7.29145;277.375
8;479.821;47.9821;7.29145;182.655
9;152.5;15.25;4.37002;48.9652
10;82.2864;8.22864;0;26.7342
1;1670.59;167.059;152.003;179.942
2;2369.46;236.946;72.8605;440.22
3;2049.47;204.947;65.3507;440.22
4;1915.65;191.565;23.3256;379.732
5;1887.88;188.788;23.3256;379.732
6;2419.36;241.936;0;1515.93
1;1625.16;162.516;150.746;174.086
2;2359.93;235.993;75.8689;434.365
3;3533.66;353.366;75.8689;1159.71
4;2573.29;257.329;19.9002;708.903
5;2515.44;251.544;19.9002;708.903
6;1866.64;186.664;19.9002;450.211
7;1800.88;180.088;11.3717;505.727
8;1181.9;118.19;11.3717;207.387
9;1134.86;113.486;10.543;201.603
10;1244.62;124.462;9.8436;659.161
11;445.282;44.5282;9.8436;201.603
12;227.824;22.7824;1.8165;42.6443
13;207.749;20.7749;1.8165;42.6443
14;46.7714;4.67714;1.57201;10.8105
15;45.5494;4.55494;1.28895;13.5807
16;54.6844;5.46844;1.09512;24.8146
17;22.2603;2.22603;1.09225;7.88086
18;13.6409;1.36409;0.939438;2.33947
19;12.7026;1.27026;0.939438;1.63542
20;12.006;1.2006;0.251372;2.47971
21;9.82404;0.982404;0.251372;1.30386
22;8.58042;0.858042;0.251372;1.14762
23;6.25126;0.625126;0.0181386;1.20766
24;7.30941;0.730941;0.0181386;1.06711
25;5.72244;0.572244;0.0181386;1.05566
26;4.38222;0.438222;0.0181386;0.832529
27;3.15748;0.315748;0.0181386;0.738729
28;2.36035;0.236035;0;0.579568
1;1629.75;162.975;145.148;175.467
2;2184.91;218.491;80.51;433.994
3;2359.75;235.975;0;698.87
1;1668.35;166.835;149.091;186.858
2;2363.86;236.386;73.5971;416.097
3;2750.18;275.018;60.4927;937.654
4;3197.8;319.78;0;937.654
1;1662.31;166.231;150.764;196.242
2;2351.13;235.113;71.3174;436.461
3;2061.74;206.174;38.2341;1095.63
4;1527.73;152.773;11.0031;384.06
5;1396.92;139.692;11.0031;587.393
6;1171.53;117.153;11.0031;466.3
7;637.694;63.7694;11.0031;166.42
8;857.666;85.7666;3.03033;166.42
9;1002.24;100.224;3.03033;466.3
10;388.004;38.8004;3.03033;84.6262
11;252.809;25.2809;3.03033;47.3183
12;154.171;15.4171;3.03033;33.5556
13;134.512;13.4512;3.03033;27.6707
14;104.97;10.497;2.33732;27.6707
15;118.56;11.856;1.3392;44.8098
16;47.9931;4.79931;1.3392;8.59742
17;61.4879;6.14879;1.10392;17.7577
18;33.8162;3.38162;1.10392;8.70338
19;18.7514;1.87514;1.10392;3.48603
20;19.4801;1.94801;0.867004;3.77543
21;20.1151;2.01151;0.485007;3.77543
22;17.9134;1.79134;0.485007;3.77543
23;15.4434;1.54434;0.485007;2.51483
24;16.6651;1.66651;0.485007;3.14388
25;13.0018;1.30018;0.485007;3.18275
26;8.92302;0.892302;0.485007;1.3071
27;8.65109;0.865109;0.485007;1.1918
28;8.65964;0.865964;0.242344;1.10492
29;7.13873;0.713873;0.242344;0.987213
30;5.67649;0.567649;0;1.09533
1;1614.75;161.475;129.913;176.49
2;2162.07;216.207;71.9814;408.436
3;1839.49;183.949;71.9814;489.7
4;2260.45;226.045;46.7393;734.785
5;2226.03;222.603;12.2626;663.103
6;1890.62;189.062;0;555.756
1;1619.49;161.949;148.383;173.012
2;1860.27;186.027;72.4572;392.161
3;1571.04;157.104;58.2094;387.712
4;1288.29;128.829;41.3819;279.496
5;1340.09;134.009;24.6132;570.185
6;1107.76;110.776;24.6132;304.912
7;1334.74;133.474;24.6132;357.355
8;1214.75;121.475;24.6132;439.126
9;661.254;66.1254;24.6132;96.0996
10;769.155;76.9155;20.2738;164.43
11;1042.1;104.21;1.34895;323.902
12;619.887;61.9887;1.34895;164.43
13;315.914;31.5914;1.34895;184.239
14;43.1874;4.31874;1.34895;8.00547
