gen#;sumfit;avgfit;minfit;maxfit
49;8.44667;0.844667;0.420719;1.03023
50;8.25286;0.825286;0.420719;1.02089
51;8.66657;0.866657;0.414377;1.02318
52;7.89191;0.789191;0.414377;1.04949
53;7.81963;0.781963;0.414377;1.03104
54;7.85754;0.785754;0.414377;1.00084
55;8.01899;0.801899;0.414377;1.00198
56;7.64036;0.764036;0.396877;1.02254
57;7.81677;0.781677;0.0654994;1.00198
58;5.21458;0.521458;0.0654994;0.950763
59;5.11668;0.511668;0.0615873;0.907265
60;4.43236;0.443236;0.0615873;0.959211
61;4.59664;0.459664;0.0424979;0.959211
62;5.01352;0.501352;0.0424979;0.996388
63;3.61488;0.361488;0.0424979;0.931932
64;3.38707;0.338707;0.0318219;0.877107
65;3.57627;0.357627;0.0318219;0.915567
66;3.66406;0.366406;0.0318219;0.65991
67;3.59274;0.359274;0.0318219;0.867303
68;3.37122;0.337122;0.0318219;0.853597
69;3.28412;0.328412;0.0318219;0.853597
70;2.63065;0.263065;0.0318219;0.549851
71;2.88198;0.288198;0.0228692;0.882365
72;1.89975;0.189975;0.0106769;0.882365
73;2.15594;0.215594;0.00479553;0.482195
74;1.70069;0.170069;0.00479553;0.39331
75;1.4118;0.14118;0.00479553;0.39331
76;0.684514;0.0684514;0.00479553;0.138299
77;0.601935;0.0601935;0;0.379288
1;105.316;10.5316;7.26947;13.8776
2;149.079;14.9079;3.33033;39.6047
3;203.891;20.3891;3.15607;57.503
4;185.306;18.5306;3.15607;37.7104
5;178.334;17.8334;3.15607;45.327
6;160.997;16.0997;3.15607;33.8309
7;178.32;17.832;3.15607;54.9502
8;122.056;12.2056;3.15607;27.547
9;119.26;11.926;3.15607;28.407
10;106.436;10.6436;3.15607;19.8762
11;85.9055;8.59055;3.15607;13.9602
12;119.206;11.9206;1.69353;47.8064
13;71.7732;7.17732;1.69353;15.5795
14;67.9145;6.79145;1.69353;13.9495
15;81.0046;8.10046;1.6256;30.0971
16;80.3577;8.03577;1.33544;30.0971
17;61.3235;6.13235;1.33544;12.2433
18;53.2999;5.32999;1.33544;11.2509
19;59.6871;5.96871;1.33544;11.2509
20;43.392;4.3392;1.33544;11.2509
21;32.0108;3.20108;1.33544;8.68914
22;28.7671;2.87671;1.26335;6.21688
23;23.6814;2.36814;1.26335;6.32523
24;27.4322;2.74322;1.19188;6.32523
25;29.1782;2.91782;1.19188;6.32523
26;29.8138;2.98138;1.07722;6.32523
27;59.0012;5.90012;1.0392;22.3527
28;28.8311;2.88311;1.0392;8.10906
29;14.1947;1.41947;1.0392;2.53665
30;14.9267;1.49267;1.0392;3.98985
31;11.7397;1.17397;1.0392;1.36512
32;11.6898;1.16898;1.0306;1.60216
33;10.8293;1.08293;0.885438;1.28582
34;10.3906;1.03906;0.885438;1.10043
35;10.1905;1.01905;0.885438;1.07367
36;10.1728;1.01728;0.885438;1.11228
37;10.0267;1.00267;0.885438;1.10043
38;10.3251;1.03251;0.819088;1.09259
39;10.4253;1.04253;0.819088;1.21745
40;10.097;1.0097;0.819088;1.11071
41;10.1117;1.01117;0.819088;1.05288
42;10.3062;1.03062;0.819088;1.1248
43;10.186;1.0186;0.819088;1.1248
44;10.139;1.0139;0.819088;1.07582
45;10.0763;1.00763;0.819088;1.18962
46;9.66163;0.966163;0.819088;1.05151
47;9.78013;0.978013;0.819088;1.03707
48;9.67625;0.967625;0.709743;1.03755
49;9.52906;0.952906;0.709743;1.03707
50;8.87406;0.887406;0.438667;1.07902
51;8.58126;0.858126;0.438667;1.07902
52;8.72363;0.872363;0.162991;1.04201
53;8.2034;0.82034;0.162991;1.02152
54;8.70716;0.870716;0.162991;1.02658
55;7.73961;0.773961;0.105185;1.02447
56;7.53796;0.753796;0.105185;1.02446
57;6.77329;0.677329;0.105185;0.978811
58;5.46522;0.546522;0.105185;1.0465
59;5.46923;0.546923;0.105185;0.955685
