gen#;sumfit;avgfit;minfit;maxfit
1;440.612;44.0612;39.6207;50.8341
2;602.264;60.2264;18.1349;116.268
3;611.954;61.1954;13.9345;146.188
4;394.751;39.4751;13.1943;101.772
5;345.677;34.5677;12.7325;64.9653
6;266.632;26.6632;0;69.5397
1;434.805;43.4805;34.4316;50.9023
2;602.42;60.242;21.594;113.036
3;806.846;80.6846;18.0435;252.445
4;578.388;57.8388;18.0435;124.603
5;617.65;61.765;13.4963;169.769
6;347.4;34.74;13.4963;74.7434
7;382.427;38.2427;13.4963;74.7434
8;481.095;48.1095;6.16889;95.0468
9;436.608;43.6608;6.16889;164.1
10;146.154;14.6154;3.2925;32.8375
11;176.509;17.6509;2.93496;34.5584
12;117.359;11.7359;2.93496;21.5518
13;78.4758;7.84758;2.93496;12.9449
14;58.2065;5.82065;2.93496;10.4103
15;66.5509;6.65509;1.75112;18.2721
16;47.6535;4.76535;1.34897;10.0347
17;63.1354;6.31354;0;29.5716
1;432.89;43.289;31.9604;53.5726
2;568.168;56.8168;20.8742;120.482
3;548.715;54.8715;16.3447;112.405
4;543.087;54.3087;16.3447;107.33
5;436.241;43.6241;16.3447;116.789
6;627.219;62.7219;16.0748;116.789
7;594.736;59.4736;16.0748;128.485
8;487.548;48.7548;16.0748;117.7
9;528.852;52.8852;16.0748;117.7
10;537.037;53.7037;4.29116;124.189
11;351.352;35.1352;4.29116;90.3986
12;235.091;23.5091;2.14732;47.3813
13;323.524;32.3524;1.96743;105.161
14;413.762;41.3762;1.96743;105.161
15;627.662;62.7662;1.96743;203.818
16;192.52;19.252;1.96743;64.5157
17;102.035;10.2035;1.96743;26.4474
18;111.522;11.1522;1.96743;26.4474
19;84.0884;8.40884;1.96743;26.4256
20;82.7296;8.27296;1.96743;26.4256
21;31.771;3.1771;1.96743;4.4343
22;33.6875;3.36875;1.65083;4.54168
23;43.0822;4.30822;1.52568;11.3522
24;54.3114;5.43114;0;12.5191
1;439.023;43.9023;34.8838;53.0049
2;590.617;59.0617;19.3507;107.734
3;504.256;50.4256;15.6267;99.3823
4;396.876;39.6876;15.6267;93.8464
5;518.042;51.8042;9.05353;140.678
6;601.166;60.1166;6.9414;140.196
7;534.844;53.4844;6.9414;94.9937
8;582.785;58.2785;6.9414;139.976
9;643.599;64.3599;6.9414;286.621
10;481.68;48.168;6.9414;148.725
11;223.124;22.3124;5.40848;68.7093
12;165.172;16.5172;2.37439;38.6328
13;129.49;12.949;2.08669;38.6328
