dim;size;gen#;spawn(ms);sumSelect(ms);sumCross(ms);sumMutate(ms);sumEval(ms)
20;10;46;0.084288;1.4385;1.63456;1.3329;1.5568
20;10;17;0.042048;0.481216;0.581376;0.4624;0.563008
20;10;15;0.042496;0.451904;0.513632;0.405056;0.510496
20;10;48;0.04288;1.66096;1.70509;1.43328;1.59331
20;10;12;0.039744;0.331008;0.41936;0.322016;0.40224
20;10;45;0.038528;1.3831;1.57715;1.4087;1.48278
20;10;18;0.037952;0.515552;0.616736;0.494624;0.593088
20;10;13;0.038752;0.366112;0.448224;0.348576;0.432448
20;10;53;0.03968;1.71526;1.87187;1.55398;1.72358
20;10;57;0.043904;1.85606;1.96173;1.68317;1.98336
20;10;9;0.04016;0.243968;0.423712;0.30512;0.30208
20;10;39;0.046176;1.13549;1.37722;1.09763;1.26816
20;10;15;0.041408;0.427968;0.604928;0.40784;0.531424
20;10;30;0.03984;0.8744;1.06432;0.88976;1.02931
20;10;44;0.039456;1.38326;1.60064;1.41216;1.49658
20;10;4;0.040448;0.09232;0.115328;0.089568;0.137792
20;10;5;0.041056;0.122432;0.153664;0.119008;0.171296
20;10;11;0.039424;0.306304;0.386688;0.298208;0.375744
20;10;9;0.039712;0.339552;0.292832;0.240384;0.305216
20;10;7;0.040416;0.182816;0.230176;0.178176;0.239648
20;10;12;0.050752;0.328;0.404096;0.318208;0.417632
20;10;37;0.039168;1.12189;1.31558;1.1113;1.24211
20;10;21;0.039776;0.602304;0.71296;0.586656;0.737952
20;10;28;0.054688;0.816704;0.994944;0.892128;1.00851
20;10;27;0.040896;0.785504;0.950176;0.748064;0.890368
20;10;6;0.043648;0.16512;0.187296;0.144384;0.199424
20;10;3;0.049312;0.059296;0.081376;0.057664;0.112768
20;10;3;0.048064;0.059424;0.072384;0.066848;0.101696
20;10;51;0.049248;1.68112;1.76653;1.46243;1.67853
20;10;18;0.047424;0.511552;0.749408;0.60048;0.597824
20;10;17;0.04656;0.473248;0.608064;0.480896;0.57456
20;10;19;0.049024;0.535168;0.676672;0.52848;0.663072
20;10;22;0.047392;0.780384;0.795584;0.628864;0.73552
20;10;10;0.048608;0.265088;0.33184;0.259136;0.343328
20;10;25;0.048992;0.798784;0.934112;0.713792;0.904576
20;10;11;0.053696;0.303136;0.37696;0.301472;0.575584
20;10;19;0.047488;0.54416;0.669664;0.522496;0.633568
20;10;8;0.048576;0.216224;0.259776;0.201248;0.277184
20;10;4;0.047872;0.090208;0.11264;0.088256;0.138464
20;10;11;0.048192;0.329536;0.494464;0.290496;0.399872
20;10;9;0.05184;0.249536;0.312704;0.231968;0.303712
20;10;21;0.04528;0.777824;0.889152;0.69504;0.852416
20;10;10;0.082144;0.316288;0.358336;0.281856;0.363936
20;10;14;0.068768;0.400448;0.571488;0.381824;0.675072
20;10;9;0.049216;0.24128;0.293056;0.230944;0.302688
20;10;4;0.044736;0.092128;0.106784;0.086688;0.142944
20;10;17;0.044896;0.474656;0.609568;0.487744;0.571296
20;10;12;0.082528;0.338272;0.4096;0.30752;0.441056
20;10;44;0.061184;1.24336;1.53434;1.31421;1.47219
20;10;5;0.097792;0.126528;0.140896;0.111744;0.164992
