dim;size;gen#;spawn(ms);sumSelect(ms);sumCross(ms);sumMutate(ms);sumEval(ms)
2;10;70;0.628096;18.2484;5.59174;3.48592;24.2886
2;10;8;0.039968;1.70477;0.452032;0.388544;2.75699
2;10;183;0.04304;44.7165;11.0816;8.88589;58.1659
2;10;17;0.035328;3.83341;0.998496;0.788;5.30717
2;10;198;0.040768;48.519;12.2977;9.68675;62.3539
2;10;46;0.04176;11.0015;2.77462;2.37907;14.9548
2;10;18;0.037536;4.13238;1.19552;0.792832;5.79014
2;10;345;0.04128;87.1068;22.0107;17.2162;112.871
2;10;37;0.040928;9.02787;2.20762;1.76358;11.7468
2;10;26;0.041536;6.15494;1.60547;1.2673;9.01558
2;10;81;0.073536;19.3755;4.9663;3.83638;25.9636
2;10;40;0.04176;9.6426;2.43898;1.90938;12.862
2;10;22;0.046592;5.36966;1.36416;1.05626;7.36346
2;10;80;0.0464;20.5051;5.04778;4.19802;26.0399
2;10;44;0.050976;10.6788;2.70522;2.30275;13.8096
2;10;27;0.039936;6.2687;1.60496;1.30512;8.8703
2;10;185;0.050208;46.9565;11.73;9.22509;59.7768
2;10;57;0.039616;14.3606;3.43926;2.97322;18.913
2;10;39;0.042464;9.66681;2.4032;2.05696;12.7552
2;10;49;0.04272;11.8473;2.87126;2.25446;15.0781
2;10;172;0.040416;42.7361;10.9199;8.52992;55.3307
2;10;354;0.036448;89.8481;22.8604;18.707;114.844
2;10;455;0.036672;112.949;28.4014;22.7486;147.803
2;10;206;0.03984;50.9761;12.8867;10.1612;65.6608
2;10;202;0.04064;50.0154;12.669;10.4144;65.2855
2;10;106;0.037248;26.4151;6.83104;5.3137;34.7567
2;10;192;0.040544;47.8377;12.2348;9.60451;62.3237
2;10;124;0.050528;31.6829;7.99581;6.3448;41.2555
2;10;202;0.055264;49.9527;12.6634;9.92185;65.3819
2;10;15;0.06752;3.7696;0.915872;0.746624;4.81597
2;10;101;0.038016;26.793;6.69632;5.37239;34.8402
2;10;115;0.042112;28.8644;7.06973;5.66141;37.0004
2;10;623;0.052736;155.24;39.6602;31.2032;204.735
2;10;48;0.052;11.605;2.92445;2.42298;15.2724
2;10;73;0.068384;17.4493;4.57939;3.51318;23.402
2;10;55;0.053248;12.9967;3.29824;2.60691;18.08
2;10;182;0.095392;45.1574;11.4058;9.08928;60.2537
2;10;54;0.07056;12.9812;3.32013;2.68698;17.1265
2;10;44;0.047552;10.8728;2.69613;2.1649;15.0074
2;10;429;0.078592;105.687;27.0927;21.6051;140.612
2;10;59;0.046464;15.1794;3.71619;2.91981;19.7242
2;10;6;0.038656;1.47085;0.315168;0.242464;2.00541
2;10;110;0.038784;27.2851;6.84093;5.6769;35.762
2;10;62;0.042048;17.2052;4.5817;3.03741;20.1656
2;10;71;0.04992;17.7586;4.33488;3.52976;24.1519
2;10;152;0.064192;38.4807;9.63062;7.72432;50.285
2;10;103;0.057984;26.4335;6.76458;5.11219;33.5836
2;10;118;0.09568;29.227;7.6097;6.01011;37.9588
2;10;27;0.049472;6.50042;1.71114;1.29731;9.02803
2;10;141;0.035872;35.7289;9.39869;7.19257;46.1447
