dim;size;gen#;spawn(ms);sumSelect(ms);sumCross(ms);sumMutate(ms);sumEval(ms)
2;10;10;0.034528;0.294304;0.286496;0.273568;0.30176
2;10;22;0.034368;0.865856;0.830048;0.792608;0.757536
2;10;8;0.037632;0.22112;0.230464;0.2096;0.23696
2;10;10;0.035616;0.280704;0.279712;0.274752;0.300544
2;10;8;0.035776;0.225344;0.214624;0.223232;0.231616
2;10;69;0.07216;2.42554;2.49046;2.24896;2.2289
2;10;24;0.036032;0.711936;0.720704;0.704768;0.711904
2;10;83;0.035936;2.5488;2.57379;2.70832;2.49229
2;10;26;0.033216;0.776896;0.776224;0.76496;0.788544
2;10;31;0.033696;0.933952;0.945312;0.922752;1.08854
2;10;9;0.033056;0.260672;0.271904;0.238464;0.278784
2;10;10;0.065504;0.280512;0.29808;0.263104;0.329664
2;10;11;0.030048;0.397664;0.400128;0.345504;0.375104
2;10;26;0.03376;0.811968;0.845344;0.80448;0.827936
2;10;50;0.029888;1.62925;1.71322;1.54211;1.58912
2;10;23;0.035648;0.685984;0.707776;0.721792;0.718048
2;10;86;0.058144;2.69162;2.77309;2.58694;2.66368
2;10;8;0.030016;0.218304;0.225984;0.209664;0.234688
2;10;33;0.030624;1.09098;0.998528;1.06646;0.955296
2;10;3;0.031584;0.06128;0.060256;0.068928;0.08512
2;10;25;0.030336;0.746336;0.782912;0.7664;0.729952
2;10;24;0.030496;0.888;0.766944;0.755936;0.734784
2;10;17;0.036;0.497728;0.519104;0.508832;0.511616
2;10;22;0.036896;0.686848;0.670528;0.672768;0.701536
2;10;52;0.032704;1.62403;1.78598;1.62467;1.62285
2;10;9;0.035872;0.247616;0.261344;0.243488;0.27264
2;10;69;0.038464;2.18723;2.17558;2.14502;2.21059
2;10;40;0.06288;1.37984;1.26694;1.2215;1.3768
2;10;4;0.036992;0.113408;0.104416;0.089664;0.115072
2;10;3;0.052288;0.091584;0.08912;0.060544;0.090432
2;10;22;0.049792;0.751936;0.696608;0.787488;0.652256
2;10;76;0.0312;2.54442;2.344;2.40496;2.26774
2;10;4;0.034112;0.091552;0.093376;0.094336;0.12272
2;10;36;0.041216;1.13568;1.22115;1.05654;1.08061
2;10;5;0.043104;0.1376;0.131712;0.132928;0.19184
2;10;5;0.042528;0.125568;0.128608;0.117824;0.157344
2;10;12;0.088672;0.3592;0.3528;0.340032;0.364608
2;10;24;0.033504;0.812416;0.75872;0.857056;0.731648
2;10;10;0.043904;0.289728;0.288;0.273568;0.395392
2;10;23;0.059808;0.732096;0.732352;0.689024;0.726272
2;10;9;0.062848;0.310272;0.290528;0.2896;0.332768
2;10;4;0.038048;0.095712;0.098496;0.090976;0.122272
2;10;43;0.033216;1.44077;1.42477;1.3927;1.47501
2;10;20;0.138944;0.604608;0.605888;0.58912;0.604832
2;10;38;0.030688;1.19085;1.18918;1.31338;1.23274
2;10;5;0.055968;0.125888;0.125536;0.1264;0.148416
2;10;17;0.03472;0.498752;0.509792;0.487712;0.523936
2;10;3;0.038272;0.064384;0.062016;0.06;0.088768
2;10;55;0.04128;1.8728;1.85779;1.64698;1.63242
2;10;5;0.036704;0.12656;0.12288;0.14304;0.14704
