dim;size;gen#;spawn(ms);sumSelect(ms);sumCross(ms);sumMutate(ms);sumEval(ms)
200;10;10;0.29952;0.35088;0.908896;0.286624;0.946752
200;10;6;0.0808;0.154016;0.589248;0.165344;0.5008
200;10;28;0.074528;0.90672;2.58525;0.9552;2.08314
200;10;3;0.078944;0.062784;0.218272;0.058592;0.260992
200;10;4;0.078368;0.09376;0.34928;0.08848;0.347936
200;10;30;0.078656;0.92704;2.73846;0.90032;2.22192
200;10;6;0.082688;0.15568;0.569376;0.14704;0.53792
200;10;17;0.078208;0.498208;1.7839;0.473216;1.40774
200;10;39;0.07808;1.26029;3.4935;1.19149;2.61709
200;10;64;0.100576;2.22026;5.14707;1.98774;4.25776
200;10;27;0.085056;0.905024;2.64086;0.797856;2.08979
200;10;16;0.0848;0.532512;1.73837;0.4864;1.52896
200;10;10;0.081184;0.31328;1.07574;0.307136;0.925888
200;10;37;0.079008;1.22352;3.55069;1.27171;2.92803
200;10;8;0.106624;0.289856;0.849248;0.211456;0.749856
200;10;39;0.08256;1.40666;3.34579;1.15488;2.63126
200;10;19;0.087104;0.576;1.84522;0.542656;1.48864
200;10;8;0.081824;0.218464;0.79168;0.23168;0.729536
200;10;6;0.077088;0.186432;0.6672;0.208096;0.563424
200;10;6;0.097344;0.156512;0.559808;0.147072;0.53216
200;10;10;0.076672;0.289984;0.967776;0.263776;0.975072
200;10;6;0.07712;0.155264;0.559872;0.146496;0.518592
200;10;35;0.076448;1.36688;3.16688;1.15837;2.56144
200;10;49;0.092992;1.7233;4.15008;1.48976;3.33942
200;10;27;0.08256;0.942592;2.68771;0.879552;2.22298
200;10;26;0.112672;0.886112;2.48442;0.841632;2.17808
200;10;15;0.098208;0.4456;1.53568;0.422368;1.45142
200;10;26;0.08512;0.82368;2.87264;0.748864;2.09392
200;10;23;0.115072;0.68704;2.05984;0.647136;1.68653
200;10;36;0.082752;1.08851;3.27594;1.22893;2.67523
200;10;4;0.120768;0.101952;0.360928;0.085568;0.362112
200;10;19;0.083392;0.573408;2.0015;0.589056;1.66576
200;10;29;0.194176;0.937312;2.55331;0.83984;2.09658
200;10;41;0.14896;1.30077;3.54198;1.20605;2.83504
200;10;26;0.121184;0.823264;2.72806;0.789792;2.20019
200;10;11;0.091008;0.311872;1.10176;0.291616;0.929152
200;10;13;0.124992;0.430304;1.36765;0.447136;1.33184
200;10;26;0.12704;0.890144;2.44355;0.799552;1.95462
200;10;64;0.211744;2.23776;5.22634;1.98189;4.23222
200;10;7;0.110176;0.21824;0.718848;0.1728;0.644896
200;10;20;0.129632;0.651104;2.16826;0.604896;1.70349
200;10;33;0.117248;1.13635;3.19693;1.1943;2.63878
200;10;25;0.092224;0.772544;2.43254;0.72816;1.87869
200;10;12;0.08;0.35536;1.27904;0.338624;1.0408
200;10;28;0.168736;0.9416;2.46064;0.850368;2.06346
200;10;21;0.096;0.659648;2.26211;0.765792;1.72259
200;10;34;0.087264;1.16742;3.10848;0.990272;2.55354
200;10;21;0.11072;0.622656;2.18013;0.596864;1.76602
200;10;27;0.08512;0.819872;2.62339;0.895552;1.95366
200;10;28;0.09328;0.886496;2.65731;1.00624;2.10662
