gen#;sumfit;avgfit;minfit;maxfit
1;49.5601;4.95601;3.51637;6.16631
2;62.5771;6.25771;1.89206;11.2744
3;75.4518;7.54518;1.62988;27.3459
4;50.4187;5.04187;1.62988;9.99765
5;50.6888;5.06888;1.62988;10.6002
6;44.5787;4.45787;1.26835;9.92074
7;34.5281;3.45281;1.26835;12.6806
8;37.9181;3.79181;0;12.9843
1;47.6089;4.76089;2.65721;7.21081
2;57.8707;5.78707;1.43508;13.7898
3;51.6414;5.16414;1.38715;11.3828
4;48.2004;4.82004;1.38715;16.1341
5;27.9433;2.79433;1.38715;6.37779
6;26.5919;2.65919;1.30681;9.16572
7;20.3444;2.03444;1.04611;4.58225
8;21.037;2.1037;1.02402;3.4728
9;30.3512;3.03512;0.884997;10.8736
10;19.1412;1.91412;0.528402;3.53392
11;12.5683;1.25683;0.528402;1.84134
12;11.4974;1.14974;0.528402;1.49624
13;10.5166;1.05166;0.528402;1.49624
14;10.2368;1.02368;0.528402;1.16408
15;10.3716;1.03716;0.528402;1.21884
16;10.0728;1.00728;0.528402;1.21884
17;9.70216;0.970216;0;1.53318
1;52.1923;5.21923;2.72003;9.36338
2;48.2191;4.82191;1.31489;12.065
3;38.3774;3.83774;1.31489;7.92161
4;43.7654;4.37654;1.31489;9.89306
5;45.009;4.5009;0.940243;19.3002
6;21.9234;2.19234;0.940243;4.71317
7;16.1116;1.61116;0.916582;4.08164
8;15.1764;1.51764;0.916582;2.67939
9;15.3907;1.53907;0;3.54833
1;58.6226;5.86226;3.79496;8.23027
2;67.8107;6.78107;3.51071;19.0339
3;57.4387;5.74387;2.44148;11.8079
4;39.7361;3.97361;1.97085;7.22181
5;34.2396;3.42396;1.9267;8.26545
6;25.4559;2.54559;1.9267;3.62838
7;26.9001;2.69001;1.18083;6.89248
8;21.7255;2.17255;1.18083;3.42602
9;22.6524;2.26524;1.08903;5.8675
10;14.6398;1.46398;1.08903;2.28635
11;13.5188;1.35188;1.08903;1.63442
12;12.6762;1.26762;1.078;1.59904
13;12.7869;1.27869;1.078;1.58086
14;11.2411;1.12411;0.856971;1.47134
