dim;size;gen#;spawn(ms);sumSelect(ms);sumCross(ms);sumMutate(ms);sumEval(ms)
200;10;87;1.22966;24.6129;107.806;4.62537;63.0737
200;10;81;0.06208;23.3314;91.0014;4.26566;54.9297
200;10;99;0.059392;27.9505;111.145;5.236;68.1905
200;10;52;0.060768;14.9067;57.9177;2.6911;35.8257
200;10;65;0.057856;18.1684;72.6452;3.31658;43.6005
200;10;81;0.059008;22.8272;90.8883;4.08963;55.683
200;10;107;0.060032;29.6218;117.57;5.43165;70.4541
200;10;38;0.070624;10.186;41.3317;1.82621;24.9292
200;10;105;0.053824;28.6354;114.225;5.20845;68.4497
200;10;77;0.06048;21.114;84.3466;3.78307;51.2845
200;10;100;0.06176;27.231;109.727;4.78717;65.1969
200;10;79;0.066944;21.4556;86.6316;3.75363;51.463
200;10;73;0.055232;19.6747;78.8374;3.52122;47.2188
200;10;86;0.112448;23.5064;92.4246;4.15072;55.7917
200;10;84;0.057824;22.7997;90.2942;4.16986;54.5204
200;10;24;0.052992;6.09731;25.1936;1.10611;15.5781
200;10;97;0.052448;25.591;102.408;4.58288;60.9909
200;10;74;0.052608;20.0454;77.7061;3.57091;47.4949
200;10;51;0.059424;13.661;53.3471;2.52528;32.8044
200;10;106;0.06112;29.0515;111.9;5.24211;68.0519
200;10;81;0.054752;21.8894;85.4242;3.96947;52.1889
200;10;121;0.05808;32.7622;127.692;5.93872;77.4759
200;10;108;0.054976;28.6837;113.975;5.12819;67.9458
200;10;82;0.05392;22.3357;86.2548;4.10547;52.529
200;10;75;0.066144;20.3938;78.9461;3.71315;48.0325
200;10;73;0.075072;19.7755;76.6957;3.59501;46.8618
200;10;99;0.092032;27.0288;104.283;4.82387;63.5276
200;10;81;0.133472;21.9927;85.1439;4.04026;52.0033
200;10;86;0.133664;23.6163;90.6558;4.35856;54.95
200;10;86;0.06544;23.7136;90.5505;4.32349;55.5189
200;10;83;0.066496;22.5488;87.3194;4.1152;52.7154
200;10;83;0.079968;22.4706;87.338;4.10608;52.9761
200;10;11;0.067104;2.79312;10.7221;0.492352;7.24707
200;10;30;0.063136;7.98666;31.0865;1.43962;19.5686
200;10;54;0.074272;14.8572;56.7379;2.6873;34.9394
200;10;98;0.081344;26.6678;103.294;4.83456;63.007
200;10;32;0.108416;8.4073;33.0517;1.53888;20.956
200;10;97;0.095296;26.2814;102.203;4.83911;62.5067
200;10;96;0.083936;25.8306;100.921;4.66016;61.3753
200;10;89;0.08608;24.5948;93.6741;4.55661;57.503
200;10;82;0.07312;22.1418;86.2191;3.96179;52.4997
200;10;46;0.073024;12.4174;48.1454;2.34502;29.4044
200;10;74;0.07088;20.2004;77.7262;3.64595;47.7466
200;10;46;0.109536;12.3069;47.9759;2.2736;29.374
200;10;99;0.068992;26.4387;104.138;4.87373;62.664
200;10;97;0.069408;25.7182;102.004;4.61722;61.14
200;10;77;0.097152;20.9954;81.0451;3.80912;49.9461
200;10;96;0.116416;26.3408;101.195;4.75091;61.8577
200;10;93;0.070144;24.9444;97.8423;4.69917;59.0644
200;10;40;0.1056;10.5861;41.5988;2.04048;25.5643
