dim;size;gen#;spawn(ms);sumSelect(ms);sumCross(ms);sumMutate(ms);sumEval(ms)
20;10;85;0.92832;19.8375;13.2603;3.94848;29.3163
20;10;29;0.043744;6.66266;4.43638;1.27882;9.96234
20;10;80;0.036384;19.2134;12.5772;3.80403;27.4491
20;10;79;0.044416;18.7891;12.3859;3.83302;27.446
20;10;13;0.044896;2.94435;1.91322;0.585632;4.43075
20;10;85;0.044256;20.5656;13.3978;4.17712;28.9932
20;10;7;0.043072;1.5521;0.994336;0.309952;2.48288
20;10;93;0.038912;22.0674;14.6422;4.38867;31.7085
20;10;35;0.03936;8.37462;5.46141;1.61363;11.8933
20;10;24;0.03808;5.45766;3.7439;1.15773;8.54806
20;10;92;0.050048;21.7968;14.4928;4.42243;31.5242
20;10;97;0.040128;23.3609;15.2781;4.55507;33.0989
20;10;98;0.044352;22.9014;15.2964;4.56326;32.9649
20;10;101;0.038048;23.967;15.7258;4.78685;34.8618
20;10;72;0.038816;17.2465;11.3259;3.4345;25.2171
20;10;98;0.04224;23.1296;15.2137;4.51126;32.6829
20;10;63;0.036544;14.6825;9.76669;2.90621;21.2313
20;10;101;0.043968;23.7921;15.7713;4.71082;34.4124
20;10;70;0.039584;16.755;11.0578;3.39965;24.5569
20;10;81;0.03744;19.135;12.6875;3.86518;27.4993
20;10;74;0.039168;17.4168;11.5733;3.45955;24.9296
20;10;79;0.039712;18.7178;12.3785;3.70048;26.6943
20;10;92;0.039168;22.1327;14.4559;4.35312;31.6635
20;10;81;0.039808;19.9051;12.8673;3.95942;28.0326
20;10;80;0.039872;19.0189;12.5499;3.73514;27.1959
20;10;110;0.100832;26.0346;17.2155;5.1688;37.6583
20;10;88;0.04368;20.6267;13.7878;4.11501;29.8884
20;10;106;0.063616;25.6254;16.6617;5.10765;36.3116
20;10;94;0.072288;22.4024;14.7587;4.37878;32.1128
20;10;62;0.097408;14.557;9.73018;2.98426;21.2086
20;10;91;0.066016;21.5187;14.3404;4.30698;30.8654
20;10;8;0.041856;1.69258;1.12838;0.329152;2.82013
20;10;84;0.053824;20.4614;13.2547;4.09526;29.2625
20;10;12;0.054816;2.64736;1.7711;0.527008;4.05789
20;10;53;0.051872;12.7304;8.34022;2.4848;18.182
20;10;66;0.095456;15.333;10.2796;3.14061;22.3282
20;10;9;0.055008;1.94659;1.29466;0.3752;3.6231
20;10;53;0.05136;12.2868;8.45469;2.42061;18.0587
20;10;82;0.096512;19.2208;12.8278;3.95776;28.021
20;10;96;0.095328;22.9915;14.9153;4.57897;32.5384
20;10;72;0.046144;17.3196;11.2457;3.32861;24.2804
20;10;84;0.099808;19.7989;13.0558;3.8575;28.1559
20;10;96;0.03968;22.2683;14.9683;4.37232;32.075
20;10;88;0.042848;21.3395;13.8618;4.172;30.3865
20;10;76;0.049376;18.032;11.8814;3.49107;25.8333
20;10;16;0.067456;3.61158;2.39472;0.712448;5.4288
20;10;113;0.053696;26.1764;17.6647;5.22342;38.0307
20;10;112;0.046592;25.7723;17.4462;5.08746;37.4187
20;10;115;0.045504;26.661;18.0961;5.30042;38.5688
20;10;78;0.04448;18.3745;12.1485;3.70435;26.454
