dim;size;gen#;spawn(ms);sumSelect(ms);sumCross(ms);sumMutate(ms);sumEval(ms)
2;100;257;0.074592;9.05974;10.4345;11.2598;9.41664
2;100;83;0.045056;3.21213;3.57392;3.82794;3.20352
2;100;45;0.078176;1.64694;1.88477;1.9991;1.68912
2;100;413;0.043744;14.8626;17.3582;18.5629;15.2543
2;100;550;0.045952;19.2935;22.5375;24.094;19.8275
2;100;379;0.042784;13.8855;16.0764;17.0068;14.1948
2;100;45;0.046848;2.01494;2.47763;2.47936;1.91866
2;100;360;0.045024;13.3516;15.3;16.7283;13.6863
2;100;34;0.044832;1.17686;1.37808;1.47104;1.24368
2;100;22;0.043776;0.750272;0.903424;0.933248;0.805664
2;100;470;0.043424;17.0977;19.8385;21.2903;17.5314
2;100;745;0.045792;27.0184;31.2609;33.4512;27.8415
2;100;72;0.045216;2.51082;2.89085;3.15136;2.6089
2;100;139;0.041792;4.98909;5.75536;6.02803;4.97526
2;100;244;0.041472;8.61286;9.96531;10.6199;8.81363
2;100;78;0.044928;2.75226;3.21219;3.41898;2.84464
2;100;28;0.04288;0.963872;1.1167;1.22294;1.01875
2;100;359;0.043008;12.9023;15.0638;16.0918;13.2143
2;100;16;0.041408;0.51968;0.599264;0.645856;0.57008
2;100;327;0.041568;11.621;13.6015;14.567;11.9804
2;100;82;0.046304;2.99898;3.48614;3.8088;3.11987
2;100;138;0.0456;4.95078;5.85571;6.14227;5.17024
2;100;80;0.04416;2.92934;3.28848;3.50749;2.91859
2;100;121;0.043168;4.34298;5.07997;5.43594;4.46067
2;100;96;0.043296;3.4015;3.95523;4.25498;3.52243
2;100;22;0.042112;0.791936;0.884192;0.937504;0.863232
2;100;426;0.042016;15.5335;18.1685;19.3154;15.9665
2;100;448;0.042976;15.7486;18.2993;19.5891;16.1515
2;100;159;0.042112;5.61501;6.53315;7.06237;5.79802
2;100;192;0.043296;6.8184;7.80979;8.35091;6.87719
2;100;315;0.043328;11.2767;12.9343;13.7132;11.4232
2;100;63;0.041824;2.21155;2.56022;2.74544;2.30976
2;100;64;0.043488;2.24781;2.5585;2.76819;2.26362
2;100;279;0.04192;10.17;11.7809;12.6082;10.3745
2;100;399;0.044576;14.4584;16.7455;17.9189;14.7573
2;100;126;0.044448;4.57731;5.32822;5.69872;4.69978
2;100;105;0.04464;3.84218;4.43254;4.74483;3.94662
2;100;95;0.043872;3.36518;3.89606;4.212;3.51757
2;100;392;0.04352;14.0558;16.5912;17.596;14.4385
2;100;302;0.04448;10.9249;12.8155;13.6019;11.3832
2;100;207;0.043872;7.45011;8.62925;9.22237;7.63139
2;100;141;0.0432;5.00083;5.86422;6.29834;5.16877
2;100;73;0.043616;2.55174;2.9727;3.17245;2.63875
2;100;59;0.04176;2.06448;2.39069;2.57382;2.12918
2;100;157;0.041856;5.40176;6.36864;6.74582;5.59424
2;100;213;0.041632;7.41513;8.67799;9.36922;7.65929
2;100;76;0.043712;2.67661;3.11395;3.34336;2.79706
2;100;505;0.042912;18.2004;21.1091;22.6926;18.6423
2;100;738;0.043584;26.4121;30.6313;32.8662;27.1863
2;100;93;0.04512;3.21613;3.7512;4.08602;3.39328
