dim;size;gen#;spawn(ms);sumSelect(ms);sumCross(ms);sumMutate(ms);sumEval(ms)
200;100;310;0.517088;17.6772;176.059;16.2559;122.735
200;100;173;0.49744;10.2804;119.139;9.30995;84.764
200;100;17;0.502592;1.32694;14.9443;1.14109;12.3538
200;100;43;0.755136;2.7471;36.3957;2.56102;28.0915
200;100;110;0.516832;7.0184;92.0985;6.49747;70.2506
200;100;41;0.484064;3.06816;34.4334;2.71437;26.4355
200;100;333;0.510112;18.742;179.722;17.1075;123.872
200;100;41;0.477984;2.51958;33.2253;2.34976;26.4077
200;100;78;0.476096;5.04781;66.5717;4.62531;49.2678
200;100;389;0.48608;22.2856;207.805;20.2978;143.618
200;100;52;0.49888;2.88723;45.2199;2.57888;34.0476
200;100;34;0.513696;1.80723;28.5059;1.65885;21.9652
200;100;18;0.491584;1.06592;14.8924;0.997792;11.8139
200;100;30;0.495648;1.98179;25.457;1.87328;19.6844
200;100;79;0.497312;4.82845;65.6135;4.54714;50.4133
200;100;83;0.491616;5.2169;70.4326;4.78586;52.9241
200;100;319;0.485408;18.6573;186.545;17.1626;130.399
200;100;388;0.524576;21.2887;212.106;19.3633;146.108
200;100;82;0.499872;5.0729;68.8865;4.71402;52.0956
200;100;36;0.499744;2.02883;30.2679;1.80637;23.6781
200;100;229;0.488672;12.5551;144.142;11.5304;101.962
200;100;377;0.425952;20.9988;210.911;19.0921;148.438
200;100;354;0.4216;19.9838;186.527;18.1649;128.762
200;100;82;0.447712;4.85693;68.8774;4.49149;51.1808
200;100;97;0.435584;5.42547;77.1706;5.05114;56.5757
200;100;197;0.436096;10.7949;132.364;9.77597;94.4408
200;100;30;0.453056;1.85584;25.0762;1.74534;19.4808
200;100;10;0.427872;0.483168;7.40995;0.43712;6.2945
200;100;70;0.422304;4.8615;59.5347;4.53635;45.1954
200;100;325;0.451136;17.9621;178.938;16.6598;124.469
200;100;162;0.462912;9.04265;124.344;8.22605;90.5904
200;100;77;0.421408;4.66992;63.4432;4.29834;48.2846
200;100;20;0.44368;1.44902;17.0466;1.4071;13.04
200;100;300;0.436384;17.2473;169.984;15.8389;119.162
200;100;184;0.445312;10.3756;120.478;9.36813;85.6719
200;100;94;0.419936;4.984;73.1733;4.55658;54.0944
200;100;196;0.420896;10.6068;121.041;9.74822;85.8163
200;100;41;0.423712;2.56211;34.233;2.34003;26.1231
200;100;212;0.43488;12.4328;132.18;11.6192;91.9389
200;100;49;0.445152;2.71933;41.2669;2.45117;31.973
200;100;71;0.451904;3.87232;59.1014;3.51578;45.0163
200;100;169;0.4368;9.54784;119.464;8.66998;86.6276
200;100;294;0.463904;16.9171;177.589;15.4013;124.529
200;100;144;0.447456;8.07626;104.572;7.4391;74.5976
200;100;24;0.445152;1.64349;20.4137;1.55235;15.5391
200;100;338;0.525088;18.11;176.59;16.5049;123.314
200;100;282;0.420704;15.7955;156.186;14.4131;107.874
200;100;64;0.534592;3.4943;53.6508;3.1887;41.0497
200;100;203;0.447968;11.6832;139.746;10.7213;99.1017
200;100;8;0.439264;0.440576;5.99603;0.34928;5.15133
