dim;size;gen#;spawn(ms);sumSelect(ms);sumCross(ms);sumMutate(ms);sumEval(ms)
20;5;12;0.066112;0.34256;0.355552;0.322816;0.395296
20;5;15;0.038656;0.43584;0.442624;0.39696;0.450688
20;5;44;0.0392;1.28707;1.37338;1.27181;1.3473
20;5;15;0.031392;0.471904;0.456128;0.40416;0.462848
20;5;73;0.031392;2.29181;2.29629;2.07696;2.20406
20;5;50;0.074432;1.49478;1.57162;1.42122;1.5175
20;5;24;0.036032;0.772832;0.83952;0.66752;0.745568
20;5;9;0.036768;0.303584;0.339648;0.263616;0.289408
20;5;8;0.034944;0.212544;0.222304;0.20176;0.261984
20;5;33;0.032832;1.00307;1.09066;1.00221;1.24797
20;5;36;0.055296;1.05581;1.12058;0.996992;1.09923
20;5;21;0.035776;0.600576;0.646016;0.565376;0.734592
20;5;23;0.03648;0.65328;0.712896;0.629888;0.695136
20;5;6;0.035488;0.14848;0.160832;0.141152;0.181344
20;5;20;0.034912;0.594432;0.645728;0.670432;0.755744
20;5;12;0.061216;0.335264;0.356768;0.323168;0.3824
20;5;6;0.03552;0.148576;0.160064;0.161504;0.181088
20;5;80;0.034816;2.39802;2.5049;2.29632;2.52294
20;5;21;0.036416;0.592608;0.646592;0.570176;0.634496
20;5;9;0.035488;0.261152;0.258624;0.226208;0.273088
20;5;4;0.035392;0.099008;0.094144;0.084608;0.138784
20;5;12;0.035008;0.334208;0.359456;0.321056;0.363264
20;5;8;0.0352;0.311808;0.223168;0.197856;0.33632
20;5;7;0.0352;0.17856;0.195456;0.169376;0.212448
20;5;6;0.034912;0.148736;0.159968;0.141344;0.191776
20;5;37;0.036384;1.08282;1.14627;0.998848;1.08755
20;5;11;0.04368;0.492;0.35504;0.315712;0.468832
20;5;22;0.036928;0.64144;0.682976;0.603616;0.687072
20;5;12;0.037088;0.32896;0.350848;0.311456;0.3648
20;5;8;0.036992;0.206656;0.226848;0.200288;0.24192
20;5;36;0.037024;1.09174;1.14141;1.04589;1.29568
20;5;8;0.03968;0.200576;0.2176;0.192;0.328864
20;5;47;0.044288;1.65021;1.55706;1.44733;1.57344
20;5;3;0.037664;0.059712;0.06368;0.05648;0.092128
20;5;27;0.037024;0.777056;0.830784;0.776384;0.942688
20;5;5;0.0368;0.118944;0.136704;0.113632;0.1528
20;5;12;0.036256;0.327008;0.353376;0.310304;0.387744
20;5;31;0.037216;0.908768;1.00778;0.85072;1.17523
20;5;3;0.036448;0.059648;0.065056;0.056768;0.092512
20;5;30;0.0368;0.86128;0.950752;0.829472;0.903776
20;5;44;0.036704;1.29894;1.35859;1.27181;1.49693
20;5;12;0.0464;0.327648;0.380896;0.33008;0.3856
20;5;21;0.033152;0.75024;0.647488;0.563936;0.6736
20;5;4;0.039904;0.101376;0.097344;0.084672;0.133568
20;5;4;0.032992;0.1;0.115328;0.08464;0.12192
20;5;24;0.03312;0.69952;0.756384;0.64944;0.724096
20;5;57;0.033088;1.67699;1.95366;1.61686;1.70928
20;5;5;0.038592;0.130176;0.13008;0.2176;0.2376
20;5;3;0.038048;0.059968;0.063328;0.0664;0.091264
20;5;64;0.03648;1.92451;2.07418;1.85347;2.03862
