gen#;sumfit;avgfit;minfit;maxfit
1;13.6566;2.73132;0.826574;5.68282
2;7.73252;1.5465;0.826574;3.36449
3;6.80915;1.36183;0.826574;2.22237
4;6.34686;1.26937;0.65251;1.79899
5;4.68514;0.937028;0.65251;1.13052
6;5.12206;1.02441;0.555621;1.8973
7;4.03703;0.807407;0.0788811;1.19947
8;5.2341;1.04682;0.0788811;1.81614
9;4.50374;0.900749;0.0788811;1.90664
10;4.37572;0.875144;0.0788811;1.90664
11;3.58877;0.717755;0.0788811;1.90664
12;2.47657;0.495315;0.0788811;1.08603
13;3.82796;0.765592;0.0788811;1.76294
14;2.84762;0.569525;0.0788811;1.00225
15;2.87001;0.574002;0.0788811;1.09279
16;3.26526;0.653051;0.0788811;0.911288
17;3.06639;0.613278;0.0788811;0.875232
18;1.97326;0.394653;0.0788811;0.646965
19;3.30176;0.660352;0.0556817;1.08837
20;2.327;0.465401;0.0556817;1.17228
21;1.58205;0.31641;0.0556817;0.778791
22;0.964795;0.192959;0.0242459;0.306073
23;1.16615;0.233231;0.0242459;0.38447
24;1.64952;0.329903;0.0242459;0.860511
25;2.30708;0.461416;0.0242459;0.980775
26;3.09658;0.619315;0.0242459;0.987671
27;2.78684;0.557368;0.0242459;0.839907
28;1.50152;0.300304;0.0242459;0.62208
29;2.85281;0.570562;0.0242459;1.03125
30;2.81026;0.562051;0.0242459;1.34533
31;3.34767;0.669533;0.0166339;1.34533
32;2.63629;0.527257;0.0166339;1.34533
33;2.47738;0.495476;0.0166339;0.955811
34;1.3805;0.276101;0.0166339;0.565408
35;2.03535;0.407071;0.0166339;0.64884
36;1.68084;0.336168;0.0166339;0.506017
37;1.70406;0.340811;0.0166339;0.639254
38;1.9254;0.38508;0.0166339;0.767747
39;2.19938;0.439876;0.0166339;0.969245
40;0.962536;0.192507;0.0166339;0.506887
41;0.819769;0.163954;0.0166339;0.307967
42;2.09315;0.418631;0.0166339;0.956773
43;0.562865;0.112573;0.0166339;0.257526
44;0.822184;0.164437;0.000271845;0.727573
45;0.0546688;0.0109338;0.000271845;0.0252062
46;2.24884;0.449768;0.000271845;1.00044
47;1.59682;0.319364;0.000271845;0.675447
48;0.852625;0.170525;0.000271845;0.3848
49;1.07475;0.21495;0.000271845;0.486202
50;0.640634;0.128127;0.000271845;0.494203
51;0.451527;0.0903053;0.000271845;0.215268
52;0.195059;0.0390118;0.000271845;0.0635857
53;2.92674;0.585348;0.000271845;0.996933
54;1.07109;0.214217;0.000271845;0.530369
55;1.63252;0.326503;0.000271845;0.802985
56;0.90768;0.181536;0.000271845;0.353681
57;1.04069;0.208139;0.000271845;0.815407
58;1.40718;0.281436;0.000271845;0.747023
59;0.685574;0.137115;0.000271845;0.2585
60;0.305708;0.0611415;0.000271845;0.2585
61;2.24165;0.448329;0.000271845;0.93601
62;1.11321;0.222643;0.000271845;0.382576
63;0.612695;0.122539;0.000271845;0.357644
64;0.228932;0.0457864;0.000271845;0.102467
65;2.64656;0.529312;0.000271845;1.00844
66;1.29245;0.25849;0.000271845;0.693191
67;1.21212;0.242423;0.000271845;0.647725
68;2.06601;0.413202;0.000271845;0.947678
69;2.05974;0.411948;0.000271845;1.01192
70;1.66524;0.333047;0.000271845;0.73728
71;1.79782;0.359564;0.000271845;0.73242
72;0.828834;0.165767;0.000271845;0.493706
73;1.4058;0.281159;0.000271845;0.628851
74;0.466778;0.0933557;0.000271845;0.377311
75;0.638136;0.127627;0.000271845;0.210629
76;0.692433;0.138487;0.000271845;0.210629
77;1.56323;0.312646;0.000271845;0.763856
78;1.32994;0.265988;0.000271845;0.763856
79;1.32868;0.265737;0.000271845;0.529301
80;0.950829;0.190166;0.000271845;0.352151
81;1.58414;0.316828;0.000271845;0.74347
82;1.81933;0.363866;0.000254249;1.15016
83;1.66707;0.333414;0.000254249;0.848983
84;0.660861;0.132172;0.000254249;0.299202
85;0.286379;0.0572757;0.000254249;0.103876
86;2.87931;0.575863;0.000254249;0.993049
87;0.934592;0.186918;0.000254249;0.347588
88;1.97592;0.395184;0.000254249;0.90512
89;2.08559;0.417118;0.000254249;0.90512
