gen#;sumfit;avgfit;minfit;maxfit
1;23.8842;4.77685;2.37526;8.69801
2;22.5227;4.50454;0.797913;7.20688
3;17.1911;3.43822;0;8.68814
1;19.9619;3.99239;2.18724;5.61082
2;19.8067;3.96133;0.2858;11.3601
3;19.0582;3.81165;0.2858;11.3601
4;8.4663;1.69326;0;3.08865
1;23.8033;4.76066;2.48127;6.02832
2;22.8737;4.57474;0.945327;6.02832
3;20.4922;4.09844;0.945327;6.02832
4;15.616;3.1232;0.945327;6.02832
5;4.5047;0.900939;0;1.66872
1;23.3941;4.67881;2.72554;7.53105
2;17.617;3.52339;0.158143;4.86504
3;14.535;2.90701;0.158143;9.99664
4;13.4898;2.69796;0;10.4127
1;16.2217;3.24433;1.9306;6.08217
2;12.2148;2.44297;1.21272;3.80102
3;11.8057;2.36114;0.994329;5.29959
4;5.66338;1.13268;0.938899;1.75413
5;5.16626;1.03325;0.938899;1.30051
6;4.76468;0.952935;0.143629;1.30051
7;4.95158;0.990317;0.143629;1.50233
8;0.574518;0.114904;0;0.143629
1;22.2607;4.45214;2.99596;6.07719
2;20.9567;4.19134;2.06006;6.01095
3;24.2935;4.8587;1.75214;16.5701
4;7.82256;1.56451;0;2.06006
1;26.8141;5.36282;4.12319;7.63435
2;24.2994;4.85988;3.90343;5.6007
3;23.3774;4.67549;0;10.3413
1;22.3828;4.47656;1.81497;6.22759
2;24.7336;4.94672;0.454564;11.7228
3;8.79371;1.75874;0.454564;3.57539
4;7.2009;1.44018;0.454564;2.10374
5;5.41655;1.08331;0;2.37353
1;27.8816;5.57633;3.76907;7.75988
2;36.9697;7.39394;0.851413;16.6685
3;11.7059;2.34119;0.851413;5.34649
4;8.00772;1.60154;0;5.34649
1;22.1704;4.43409;3.31584;5.97068
2;24.2431;4.84862;2.41916;5.6591
3;19.6867;3.93734;2.41916;5.38066
4;30.2215;6.04429;0;18.3346
1;30.7623;6.15247;4.41146;7.35393
2;37.3443;7.46887;2.07854;13.8453
3;44.9009;8.98018;1.47411;13.3044
4;12.7212;2.54424;1.47411;4.03968
5;10.4057;2.08114;1.2477;3.28848
6;8.67601;1.7352;0;2.50354
1;28.2849;5.65699;3.9595;7.67049
2;33.0007;6.60015;2.10516;14.4458
3;24.3168;4.86336;1.80445;9.25415
4;10.024;2.0048;0;4.13393
1;22.8916;4.57833;3.58215;5.2173
2;21.31;4.262;1.4504;8.05922
3;6.25695;1.25139;0;1.69843
1;22.9199;4.58398;1.42383;10.7693
2;20.9595;4.19191;0.976369;10.7693
3;14.9886;2.99771;0;7.21194
1;23.2761;4.65523;3.05736;5.75008
2;28.6964;5.73928;2.58042;12.0131
3;19.424;3.88481;1.75432;5.75008
4;17.0071;3.40141;1.64489;6.14611
5;14.4395;2.8879;0;6.14611
1;27.6644;5.53287;4.56427;7.89765
2;33.2043;6.64087;2.15019;14.6295
3;14.59;2.918;0;6.02528
1;28.4004;5.68008;4.60731;7.273
2;26.8507;5.37014;1.1294;12.5731
3;19.3069;3.86139;1.1294;6.32802
4;15.4582;3.09163;1.1294;4.49408
5;6.22744;1.24549;0.00823896;2.32774
6;4.61755;0.92351;0;1.18352
1;24.2871;4.85741;4.02717;5.62541
2;24.6504;4.93008;1.46269;11.5773
