gen#;sumfit;avgfit;minfit;maxfit
1;47.2101;9.44203;6.40754;11.5056
2;46.4499;9.28998;2.63346;17.4105
3;46.8009;9.36018;2.63346;32.0804
4;35.5791;7.11582;2.63346;18.0205
5;16.1692;3.23383;2.63346;3.50744
6;25.8957;5.17914;1.45532;8.02467
7;14.9507;2.99014;1.45532;5.14814
8;12.9475;2.58949;1.17226;3.48347
9;10.739;2.14781;1.17226;3.27238
10;8.54916;1.70983;1.17226;2.90812
11;7.67049;1.5341;1.17226;2.07554
12;11.9914;2.39828;1.09192;3.07432
13;12.7419;2.54837;1.09192;4.09501
14;12.3438;2.46876;1.09192;6.2678
15;9.84289;1.96858;1.09192;2.72879
16;8.69623;1.73925;1.09192;2.34678
17;7.18329;1.43666;1.07984;1.71913
18;6.88522;1.37704;1.07984;1.71913
19;5.46026;1.09205;0.531796;1.33542
20;4.94993;0.989986;0.531796;1.16451
21;4.68747;0.937494;0.531796;1.05695
22;4.56073;0.912146;0.531796;1.05368
23;4.16;0.831999;0.531796;1.15745
24;4.57852;0.915705;0.531796;1.04809
25;4.36854;0.873707;0.337141;1.04809
26;4.23244;0.846487;0.32711;1.04809
27;4.2942;0.85884;0.32711;1.01767
28;4.24573;0.849146;0.32711;1.01767
29;4.07817;0.815633;0.268247;1.01619
30;3.07439;0.614879;0.213049;1.01984
31;3.04618;0.609235;0.0361842;1.01302
32;1.5882;0.31764;0.0361842;0.973881
33;2.03718;0.407435;0.0361842;0.586576
34;1.07742;0.215485;0.0361842;0.531614
35;1.08275;0.21655;0.0361842;0.652895
36;1.28711;0.257423;0.0236724;0.403609
37;0.784817;0.156963;0.0236724;0.634207
38;0.787654;0.157531;0.0201213;0.634207
39;0.569595;0.113919;0.00811515;0.255164
40;0.638381;0.127676;0.00213925;0.333206
41;0.331028;0.0662057;0.00213925;0.137687
42;0.184549;0.0369098;0.00213925;0.082015
43;0.155173;0.0310347;0.00213925;0.0909162
44;0.123078;0.0246155;0.00136914;0.0909162
45;0.0698001;0.01396;0.00136914;0.0255436
46;0.055486;0.0110972;0.000128887;0.0228547
47;0.0323907;0.00647815;0.000128887;0.0145799
48;0.0224807;0.00449615;0.000128887;0.00712833
49;0.0449079;0.00898158;5.41169e-005;0.0240303
50;0.0397385;0.0079477;5.41169e-005;0.0240303
51;0.0127712;0.00255424;5.41169e-005;0.00666726
52;0.0159231;0.00318462;5.41169e-005;0.00623158
53;0.00672292;0.00134458;5.41169e-005;0.00344007
54;0.0026604;0.000532079;5.41169e-005;0.00139503
55;0.00116538;0.000233077;5.41169e-005;0.000784911
56;0.0537956;0.0107591;2.21604e-006;0.0536646
1;53.1031;10.6206;8.03216;13.2575
2;52.7632;10.5526;2.75915;20.8769
3;21.7843;4.35687;2.75895;6.73411
4;26.2149;5.24299;2.75895;10.1213
5;22.8497;4.56994;1.96962;8.63602
6;17.457;3.49139;1.72091;6.27594
7;17.0821;3.41641;1.72091;4.71257
8;14.2407;2.84814;1.72091;4.0083
9;17.4103;3.48206;1.35261;8.23517
10;16.3037;3.26075;1.35261;6.7865
11;11.069;2.2138;1.23562;4.12304
12;10.4423;2.08846;0.966586;4.28683
13;8.06783;1.61357;0.966586;1.95587
14;6.42429;1.28486;0.966586;1.50757
15;5.87647;1.17529;0.966586;1.43766
16;5.43539;1.08708;0.966586;1.14151
17;5.40838;1.08168;0.966586;1.35824
18;5.0632;1.01264;0.844317;1.15163
19;5.12312;1.02462;0.844317;1.12282
20;5.04017;1.00803;0.844317;1.12282
21;4.26261;0.852522;0.0721004;1.12476
22;4.22926;0.845853;0.0721004;1.07033
23;4.22864;0.845727;0.0721004;1.0664
24;3.83423;0.766846;0.0721004;1.01146
25;2.75852;0.551705;0.0721004;1.01446
26;2.5328;0.506559;0.0721004;0.956423
27;1.86747;0.373494;0.0320384;1.01252
28;2.41483;0.482965;0.0320384;0.889749
29;2.43782;0.487564;0.0320384;0.912742
30;2.03029;0.406059;0.0200767;0.880204
31;1.06993;0.213986;0.0200767;0.403311
32;1.22939;0.245878;0.0200767;0.403311
33;1.35609;0.271219;0.0200767;0.844383
34;0.933699;0.18674;0.0200767;0.659657
35;0.370874;0.0741748;0.0200767;0.143635
36;0.863902;0.17278;0.0101213;0.451094
37;1.01665;0.203329;0.0101213;0.451094
38;0.438202;0.0876405;0.0101213;0.157694
39;0.341675;0.068335;0.0101213;0.187719
40;0.31368;0.062736;0.0101213;0.104759
41;0.297391;0.0594781;0.0101213;0.104759
42;0.214926;0.0429853;0.0101213;0.108833
43;0.261505;0.052301;0.0101213;0.161935
44;0.264352;0.0528704;0.0101213;0.161935
45;0.0912606;0.0182521;0.0101213;0.039977
46;0.137191;0.0274382;0.0101213;0.0715859
47;0.0978117;0.0195623;0.00214947;0.039977
48;0.103212;0.0206424;0.00113641;0.0708407
49;0.133149;0.0266297;0.00113641;0.0683713
50;0.0817278;0.0163456;0.00113641;0.0443813
51;0.0329841;0.00659682;0.00113641;0.0218249
52;0.011924;0.0023848;0.00113641;0.00409445
53;0.0155277;0.00310554;0.00035537;0.0064292
54;0.0231918;0.00463835;0.000313273;0.010851
55;0.0112899;0.00225797;0.000313273;0.00517937
56;0.0127632;0.00255264;0.000313273;0.00517937
57;0.0192442;0.00384884;0.000313273;0.00743817
58;0.00864103;0.00172821;0.000313273;0.00338598
59;0.00864498;0.001729;0.000313273;0.00325752
60;0.00760823;0.00152165;0.000313273;0.00264819
61;0.0105612;0.00211225;8.85318e-005;0.00823756
62;0.00315763;0.000631526;8.85318e-005;0.00113544
63;0.00568165;0.00113633;1.71756e-005;0.00258731
64;0.000867935;0.000173587;1.71756e-005;0.000498289
65;0.00125734;0.000251469;1.71756e-005;0.00052696
66;0.000776945;0.000155389;1.71756e-005;0.000498289
67;0.000301874;6.03748e-005;1.71756e-005;0.000130311
68;0.000394602;7.89204e-005;1.69267e-005;0.000138792
69;0.000680167;0.000136033;1.69267e-005;0.000499767
70;0.000444298;8.88596e-005;9.07605e-006;0.000166353
1;41.5227;8.30453;6.26199;10.1259
2;42.0603;8.41206;2.84686;19.075
3;36.6481;7.32962;2.8463;11.5369
4;47.8101;9.56202;2.17999;24.0093
5;35.0466;7.00932;2.17286;10.2646
6;25.8058;5.16117;2.17286;8.83943
7;19.7557;3.95115;1.64928;5.64161
8;27.3939;5.47879;1.61769;11.9665
9;15.5529;3.11058;1.61769;5.59852
10;11.8802;2.37603;1.61769;2.8463
11;10.189;2.03779;1.61769;2.62554
12;12.0808;2.41615;1.02765;3.99961
13;9.69001;1.938;1.02765;3.67621
14;7.82669;1.56534;1.02765;2.49206
15;7.15702;1.4314;1.02765;1.77634
16;5.64768;1.12954;1.02301;1.25195
17;5.62219;1.12444;1.02301;1.25195
18;5.62404;1.12481;0.921769;1.32606
19;5.18296;1.03659;0.921769;1.0953
20;5.08457;1.01691;0.921769;1.13116
21;4.95294;0.990588;0.921769;1.01252
22;4.88143;0.976286;0.921769;1.01171
23;4.53598;0.907196;0.517981;1.04606
24;4.42832;0.885664;0.184987;1.13145
25;4.25088;0.850175;0.184987;1.13145
26;3.50737;0.701474;0.184987;1.13145
27;4.10114;0.820229;0.184987;1.01499
28;3.36392;0.672783;0.184987;1.02598
29;3.50721;0.701443;0.184987;0.989646
30;2.47569;0.495138;0.184987;0.918279
31;2.20036;0.440072;0.184987;0.726547
32;2.28238;0.456476;0.184987;0.686348
33;2.70181;0.540361;0.117433;0.76602
34;1.74589;0.349178;0.117433;0.62733
35;1.08098;0.216195;0.0493618;0.315391
36;0.837239;0.167448;0.0493618;0.300486
37;1.04071;0.208141;0.0163699;0.62933
38;0.625412;0.125082;0.0078603;0.352364
39;0.456857;0.0913715;0.0078603;0.221458
40;0.251971;0.0503943;0.0078603;0.113522
41;0.108136;0.0216272;0.0078603;0.0491079
42;0.11811;0.0236219;0.000482985;0.0380675
43;0.0207118;0.00414235;0.000482985;0.00803018
44;0.0111993;0.00223987;0.000482985;0.00502614
45;0.00681568;0.00136314;0.000482985;0.00241723
46;0.00437386;0.000874773;3.01923e-005;0.00197
47;0.00475355;0.000950709;3.01923e-005;0.00233885
48;0.000455987;9.11973e-005;3.01923e-005;0.00016697
49;0.000483125;9.66249e-005;3.01923e-005;0.00016697
50;0.000480489;9.60978e-005;3.01923e-005;0.000160864
51;0.000319972;6.39945e-005;1.69833e-005;0.000128564
52;0.000288767;5.77535e-005;8.92563e-006;8.93232e-005
1;42.8425;8.5685;6.16754;10.8497
2;43.1687;8.63375;2.5666;19.525
3;41.5652;8.31305;2.5666;19.3987
4;40.0788;8.01577;2.5666;13.1923
5;26.5447;5.30895;2.5666;8.52001
6;28.1338;5.62675;2.5666;10.8599
7;20.2602;4.05203;2.5666;5.70084
8;23.615;4.723;2.5666;8.56551
9;13.9814;2.79628;2.5622;3.30295
10;19.1659;3.83318;2.14318;6.9225
11;15.0302;3.00605;1.91635;4.5462
12;12.1196;2.42391;1.91635;3.48699
