dim;size;gen#;spawn(ms);sumSelect(ms);sumCross(ms);sumMutate(ms);sumEval(ms)
20;5;55;0.646976;12.9042;8.59907;2.55149;20.1267
20;5;72;0.044224;17.3276;11.3005;3.43238;24.4609
20;5;67;0.044;16.0546;10.4815;3.15382;23.0524
20;5;84;0.039584;20.4691;13.4207;4.08243;29.1601
20;5;39;0.0392;9.30717;6.33526;1.92093;14.1592
20;5;73;0.039712;17.55;11.5148;3.548;25.0542
20;5;63;0.038176;15.3345;9.86912;3.00461;21.9903
20;5;72;0.04848;18.9453;11.799;3.81222;28.7989
20;5;51;0.042336;12.0451;8.01568;2.52893;18.0536
20;5;62;0.045568;15.0041;9.67981;2.90752;21.5505
20;5;62;0.0392;14.7606;9.64579;2.89898;21.2254
20;5;12;0.03856;2.63018;1.75974;0.554496;4.16691
20;5;67;0.038048;15.7102;10.5521;3.05414;22.6574
20;5;49;0.03872;11.3769;7.62153;2.37312;16.8747
20;5;67;0.039104;16.1194;10.5102;3.11123;22.7216
20;5;69;0.037504;16.9458;10.9533;3.53347;23.9576
20;5;22;0.039648;4.98458;3.37165;1.13165;7.49514
20;5;71;0.038656;16.7433;11.0991;3.31354;24.1032
20;5;62;0.039392;14.7618;9.83494;3.0648;21.8325
20;5;31;0.042784;7.4937;4.88589;1.49194;10.9418
20;5;69;0.043136;16.2572;10.8;3.30947;23.8454
20;5;44;0.037536;10.6122;6.97309;2.10746;15.2186
20;5;68;0.03712;15.9516;10.676;3.21773;23.2654
20;5;61;0.043936;14.6489;9.58755;3.03709;21.8781
20;5;92;0.04432;22.1445;14.4371;4.54051;31.9076
20;5;76;0.04096;18.0364;11.8473;3.5576;26.0716
20;5;38;0.074912;9.01373;5.88256;1.8799;13.3746
20;5;64;0.092544;14.9738;9.94361;2.99136;21.437
20;5;69;0.090016;16.7052;10.8241;3.32432;23.7587
20;5;53;0.043328;13.0937;8.39251;2.50678;18.2739
20;5;85;0.055712;20.1332;13.319;4.01245;29.0932
20;5;86;0.045504;20.8983;13.6403;4.23648;30.2592
20;5;54;0.054112;12.8532;8.38313;2.52838;18.3558
20;5;21;0.082656;5.0583;3.16886;0.95824;7.19517
20;5;77;0.068096;18.5011;12.1069;3.64573;26.5771
20;5;16;0.04016;3.69955;2.41654;0.766336;5.67373
20;5;69;0.039872;16.336;10.9605;3.32003;23.9468
20;5;68;0.053664;16.9757;10.8367;3.39866;24.0925
20;5;5;0.05568;1.07674;0.646144;0.193824;1.8681
20;5;10;0.046176;2.18419;1.44477;0.436736;3.48726
20;5;78;0.036896;18.5584;12.25;3.72554;27.0001
20;5;8;0.073344;1.70867;1.1192;0.360512;3.00573
20;5;69;0.068992;16.4742;10.9406;3.35091;23.6856
20;5;74;0.04864;17.4352;11.4935;3.4864;25.1751
20;5;65;0.075968;15.5526;10.3189;3.13994;22.6535
20;5;70;0.042208;16.6576;10.948;3.32637;24.2481
20;5;56;0.042112;13.2804;8.72736;2.64352;19.3473
20;5;102;0.041728;24.3954;16.0053;4.7849;34.7676
20;5;63;0.083424;14.7966;9.91606;2.98128;21.5547
20;5;71;0.065248;16.5048;11.0739;3.27533;24.1884
