gen#;sumfit;avgfit;minfit;maxfit
1;87.1821;17.4364;15.5913;20.6638
2;105.565;21.1129;4.87347;43.4117
3;101.195;20.2391;4.87347;42.2562
4;85.7582;17.1516;2.03131;45.1441
5;44.4363;8.88727;2.03131;16.4938
6;21.3483;4.26966;2.03131;5.44106
7;20.7019;4.14037;1.60105;6.73172
8;15.4732;3.09464;1.60105;5.64297
9;11.1104;2.22209;1.06939;3.31703
10;10.7682;2.15364;1.06939;3.21746
11;8.38565;1.67713;1.06939;2.55823
12;8.28867;1.65773;1.0037;2.1766
13;7.80894;1.56179;1.0037;1.98404
14;7.95201;1.5904;0.850645;3.88789
15;7.87256;1.57451;0.850645;3.88789
16;5.49434;1.09887;0.850645;1.56606
17;4.79581;0.959161;0.850645;1.08725
18;3.82633;0.765266;0.183786;1.01139
19;2.20603;0.441207;0.183786;0.831855
20;1.54139;0.308278;0.183786;0.539853
21;2.03459;0.406918;0.173678;0.759994
22;2.36099;0.472199;0.106969;0.975117
23;2.16413;0.432826;0.106969;0.975117
24;1.56245;0.31249;0.064958;0.415444
25;1.0449;0.208979;0.064958;0.415444
26;1.09015;0.218031;0.0166145;0.712607
27;0.647968;0.129594;0.0166145;0.301633
28;0.599604;0.119921;0.0147981;0.204065
29;0.313715;0.062743;0.0147981;0.13095
30;0.170333;0.0340666;0.0147981;0.0595255
31;0.152971;0.0305941;0.0134921;0.0595255
32;0.105997;0.0211995;0.00977427;0.035181
33;0.138471;0.0276942;0.00509451;0.0634303
34;0.113107;0.0226214;0.00509451;0.0634303
35;0.0718391;0.0143678;0.00509451;0.0200538
36;0.101945;0.020389;0.00258263;0.0628784
37;0.0947623;0.0189525;0.00258263;0.0449774
38;0.0635701;0.012714;0.00258263;0.0204801
39;0.0428455;0.0085691;0.00258263;0.0134639
40;0.0483828;0.00967656;0.00258263;0.0189867
41;0.0488777;0.00977555;0.00258263;0.0128931
42;0.0627535;0.0125507;0.00112914;0.032003
43;0.0688105;0.0137621;0.000778542;0.055306
44;0.0560117;0.0112023;0.000778542;0.0301666
45;0.0410763;0.00821526;0.000554473;0.0175736
46;0.0378294;0.00756589;0.000554473;0.0175736
47;0.0609968;0.0121994;0.000554473;0.0507004
48;0.0130491;0.00260982;0.000554473;0.00689073
49;0.0132735;0.00265471;0.000554473;0.00911375
50;0.0110367;0.00220734;9.93112e-005;0.00386786
51;0.00479849;0.000959698;9.93112e-005;0.00212475
52;0.00370553;0.000741107;9.93112e-005;0.00170367
53;0.00634636;0.00126927;9.93112e-005;0.00471813
54;0.00288624;0.000577249;9.93112e-005;0.000806068
55;0.00632956;0.00126591;3.10812e-006;0.00312643
1;92.7995;18.5599;16.9723;22.0011
2;113.172;22.6344;5.03538;45.7094
3;184.541;36.9081;5.03392;120.943
4;279.312;55.8624;5.03249;133.38
5;69.3716;13.8743;5.03249;31.5762
6;123.048;24.6095;0.00356949;51.6763
7;75.0033;15.0007;0.00356949;31.5762
8;68.5599;13.712;0.00356949;26.9354
9;89.5869;17.9174;0.00356949;50.9626
10;30.2188;6.04376;0.00356949;16.5478
11;21.4952;4.29905;0.00356949;6.83193
12;37.6586;7.53172;0.00356949;16.5478
13;27.2972;5.45944;0.00356949;12.9762
14;12.0881;2.41762;0.00356949;4.00639
15;8.839;1.7678;0.00356949;2.68828
16;9.56412;1.91282;0.00356949;4.00639
17;6.71423;1.34285;0.00356949;1.75152
18;4.14103;0.828205;0.00356949;1.58722
19;4.79552;0.959103;0.00356949;1.35865
20;4.55011;0.910022;0.00356949;1.35865
21;4.12233;0.824466;0.00356949;1.07684
22;4.11639;0.823278;0.00356949;1.0709
23;3.88357;0.776713;0.00356949;1.02308
24;3.33342;0.666684;0.00356949;0.965542
25;3.27656;0.655312;0.00356949;1.02266
26;1.81407;0.362814;0.00356949;0.734834
27;1.56498;0.312996;0.00356949;0.734834
28;0.481684;0.0963369;0.00356949;0.256432
29;0.346485;0.069297;0.00356949;0.11127
30;0.249314;0.0498627;0.00356949;0.101139
31;0.274281;0.0548562;0.00356949;0.14915
32;0.131677;0.0263354;0.00356949;0.0420183
33;0.119057;0.0238114;0.00356949;0.0502345
34;0.122014;0.0244027;0.00331195;0.0502345
35;0.0984885;0.0196977;0.00331195;0.0322912
36;0.0611162;0.0122232;0.00331195;0.0189637
