dim;size;gen#;spawn(ms);sumSelect(ms);sumCross(ms);sumMutate(ms);sumEval(ms)
100;5;130;0.954304;33.569;82.773;6.34835;65.3286
100;5;46;0.046976;11.531;27.0007;2.1689;22.7511
100;5;123;0.040768;31.5946;73.1629;6.01319;60.9242
100;5;102;0.044096;28.1794;60.8138;5.29408;51.6437
100;5;144;0.061184;36.4084;85.382;6.90525;69.6579
100;5;139;0.04528;35.0459;82.5265;6.62989;67.2298
100;5;125;0.044128;31.5184;74.3871;6.30029;61.3396
100;5;132;0.047296;33.6019;78.4928;6.43283;64.6203
100;5;38;0.043616;9.55373;22.2569;1.86534;18.7842
100;5;6;0.046912;1.2857;3.02909;0.274432;3.0855
100;5;23;0.04496;5.7592;13.2231;1.08176;11.4784
100;5;15;0.046528;3.54582;8.4503;0.662656;7.26061
100;5;158;0.039712;40.5688;93.8835;7.62902;77.5944
100;5;162;0.07216;41.298;96.5568;7.81926;79.2572
100;5;131;0.048608;33.7906;77.9163;6.36115;64.5202
100;5;157;0.04144;40.13;93.4087;7.63299;76.942
100;5;131;0.071904;32.9125;77.809;6.38128;63.1742
100;5;141;0.047232;36.0279;83.6581;6.86128;68.7286
100;5;121;0.06592;30.1736;71.7282;5.77094;58.1934
100;5;132;0.04032;34.2897;78.3992;6.46346;64.5603
100;5;130;0.048416;32.8812;77.1414;6.28048;63.0808
100;5;149;0.046656;37.8133;88.5803;7.28803;72.7346
100;5;119;0.042432;29.8998;70.5059;5.67059;57.7095
100;5;88;0.040384;22.2792;52.3633;4.27098;42.8034
100;5;99;0.04672;25.6027;58.7983;5.05418;49.1048
100;5;168;0.044288;42.5409;99.6857;8.14502;81.946
100;5;138;0.042944;35.304;81.9907;6.61619;67.1495
100;5;131;0.06288;33.429;77.9106;6.35728;63.4231
100;5;126;0.06064;32.9567;74.9185;6.16486;61.72
100;5;135;0.086816;34.4097;80.0625;6.46096;65.5618
100;5;27;0.045472;6.74179;15.6614;1.34474;13.2659
100;5;114;0.04912;28.9854;67.8001;5.51427;55.8176
100;5;56;0.055168;14.0385;33.0776;2.6983;27.8546
100;5;127;0.043168;32.3631;75.3248;6.04083;61.5158
100;5;113;0.065312;28.3205;67.0173;5.48131;54.9641
100;5;23;0.082656;5.81334;13.3251;1.12819;11.831
100;5;115;0.104768;29.1723;68.207;5.51818;55.9765
100;5;98;0.054944;24.9571;58.0972;5.04656;48.4135
100;5;139;0.056096;35.5682;82.5801;6.93664;67.9683
100;5;118;0.059968;29.929;69.9666;5.54493;57.0709
100;5;17;0.04752;4.27709;9.67779;0.78608;8.58746
100;5;123;0.057632;31.4887;73.0475;5.99267;61.2155
100;5;119;0.051776;30.1591;70.6953;5.77187;57.7807
100;5;44;0.074944;11.0434;25.8927;2.11152;22.0671
100;5;128;0.041088;32.6816;76.1442;6.16925;62.4135
100;5;125;0.079328;31.5188;74.1452;6.0167;60.7131
100;5;119;0.089472;30.0704;70.5693;5.69232;57.7173
100;5;137;0.087904;35.8192;81.6144;6.82262;67.6272
100;5;93;0.044544;23.5834;55.3047;4.51024;45.413
100;5;80;0.077056;20.262;47.3461;3.8304;38.9195
