gen#;sumfit;avgfit;minfit;maxfit
1;22.0146;11.0073;9.6172;12.3974
2;22.0146;11.0073;9.6172;12.3974
3;30.8886;15.4443;5.10435;25.7843
4;10.2087;5.10435;5.10435;5.10435
5;10.2087;5.10435;5.10435;5.10435
6;17.4685;8.73426;0;17.4685
1;17.7615;8.88075;8.00267;9.75882
2;16.0053;8.00267;8.00267;8.00267
3;28.9384;14.4692;0;28.9384
1;13.9303;6.96515;6.46712;7.46318
2;12.9342;6.46712;6.46712;6.46712
3;12.9342;6.46712;6.46712;6.46712
4;12.9342;6.46712;6.46712;6.46712
5;12.9342;6.46712;6.46712;6.46712
6;12.9342;6.46712;6.46712;6.46712
7;12.9342;6.46712;6.46712;6.46712
8;12.9342;6.46712;6.46712;6.46712
9;22.8709;11.4355;0;22.8709
1;20.3912;10.1956;9.83552;10.5557
2;20.3912;10.1956;9.83552;10.5557
3;25.458;12.729;7.30197;18.156
4;25.458;12.729;7.30197;18.156
5;25.458;12.729;7.30197;18.156
6;17.1375;8.56875;7.30197;9.83552
7;17.1375;8.56875;7.30197;9.83552
8;17.1375;8.56875;7.30197;9.83552
9;14.6039;7.30197;7.30197;7.30197
10;26.1931;13.0966;0;26.1931
1;19.6339;9.81696;7.8009;11.833
2;19.6339;9.81696;7.8009;11.833
3;24.9762;12.4881;5.2031;19.7731
4;10.4062;5.2031;5.2031;5.2031
5;10.4062;5.2031;5.2031;5.2031
6;10.4062;5.2031;5.2031;5.2031
7;17.8134;8.90668;0;17.8134
1;19.5464;9.77322;9.51435;10.0321
2;19.5464;9.77322;9.51435;10.0321
3;25.7906;12.8953;6.42157;19.369
4;12.8431;6.42157;6.42157;6.42157
5;22.5893;11.2946;0;22.5893
1;19.3277;9.66383;9.41749;9.91017
2;18.835;9.41749;9.41749;9.41749
3;34.6969;17.3485;0;34.6969
1;16.8565;8.42825;8.02028;8.83622
2;16.0406;8.02028;8.02028;8.02028
3;16.0406;8.02028;8.02028;8.02028
4;16.0406;8.02028;8.02028;8.02028
5;29.0817;14.5408;0;29.0817
1;18.1884;9.09418;8.62591;9.56245
2;17.2518;8.62591;8.62591;8.62591
3;17.2518;8.62591;8.62591;8.62591
