dim;size;gen#;spawn(ms);sumSelect(ms);sumCross(ms);sumMutate(ms);sumEval(ms)
2;200;54;0.905248;18.2971;3.45674;2.82819;18.99
2;200;488;0.048992;152.954;31.6488;25.2992;164.409
2;200;435;0.04048;131.853;27.4687;22.1608;144.616
2;200;121;0.043296;36.0517;7.6215;6.09619;39.6586
2;200;131;0.041216;47.1021;9.27782;7.59232;47.6155
2;200;684;0.046688;242.408;47.8581;38.0886;245.815
2;200;359;0.04688;123.169;24.0445;18.9149;126.27
2;200;487;0.045344;178.167;34.2974;27.4478;179.864
2;200;538;0.04656;208.085;39.1966;31.1775;206.27
2;200;579;0.04848;222.583;42.6332;34.3406;221.566
2;200;993;0.046464;368.897;69.3251;55.1626;358.356
2;200;82;0.049408;30.1258;5.7488;4.49264;29.0809
2;200;38;0.046464;13.5339;2.5472;2.07475;13.4781
2;200;703;0.043968;261.92;49.1387;41.2793;254.799
2;200;36;0.046144;13.0939;2.55728;2.07875;13.5809
2;200;873;0.044448;321.81;61.9894;49.9617;317.297
2;200;90;0.044672;33.105;6.52083;5.18077;32.8147
2;200;156;0.044288;55.5084;11.1042;8.96362;57.4515
2;200;66;0.045504;23.4095;4.45578;3.54198;23.6453
2;200;668;0.044032;245.209;47.4356;38.2618;242.237
2;200;79;0.061504;28.4313;5.51933;4.31494;28.3161
2;200;246;0.043648;91.0515;17.2741;14.17;90.7394
2;200;101;0.058528;36.6882;7.13078;5.56496;37.1851
2;200;75;0.045312;26.4045;5.16659;4.26083;27.9935
2;200;46;0.045952;16.3253;3.21494;2.5593;16.7171
2;200;106;0.045568;38.737;7.22003;5.81779;38.6819
2;200;335;0.045152;122.269;23.4411;18.5775;122.893
2;200;198;0.047776;72.3589;13.6647;11.0344;72.8239
2;200;75;0.044832;27.9088;5.36624;4.38435;27.6167
2;200;59;0.044768;21.3633;4.12829;3.37328;21.4441
2;200;4;0.049248;1.24669;0.195264;0.157664;1.47014
2;200;1355;0.043328;490.781;94.9458;76.495;493.865
2;200;205;0.043456;73.9439;14.2265;11.7881;74.4686
2;200;243;0.044992;87.7571;16.9651;13.6145;87.4685
2;200;57;0.045632;20.3776;3.78397;3.16518;21.0004
2;200;18;0.065152;5.88909;1.21754;0.95056;6.67885
2;200;318;0.083072;115.148;22.2735;18.0235;115.626
2;200;259;0.044544;88.5986;17.2789;13.4938;89.615
2;200;789;0.04592;296.98;55.9833;45.2475;293.549
2;200;420;0.045728;163.408;30.2733;24.4824;157.421
2;200;392;0.04864;151.25;28.0307;22.3428;146.556
2;200;103;0.071808;41.2696;7.34515;6.0864;39.8821
2;200;38;0.05408;13.9992;2.64141;2.13158;14.1533
2;200;510;0.087232;197.331;36.6098;29.1672;188.371
2;200;249;0.04528;93.0065;17.2722;13.7865;91.4333
2;200;29;0.04416;10.8942;1.95392;1.59459;10.5348
2;200;324;0.045824;121.729;22.4461;17.6901;116.543
2;200;76;0.045376;28.2568;5.24858;4.17907;27.5618
2;200;149;0.049664;55.9211;10.194;8.95792;54.267
2;200;212;0.045568;79.5785;14.7693;11.7914;76.7114
