dim;size;gen#;spawn(ms);sumSelect(ms);sumCross(ms);sumMutate(ms);sumEval(ms)
2;200;262;0.073952;12.6763;14.163;16.0363;11.8646
2;200;67;0.05712;2.98838;3.51555;3.98496;2.95472
2;200;314;0.053632;14.2203;16.614;18.943;13.9577
2;200;155;0.055616;7.18768;8.42179;9.54026;7.05309
2;200;1421;0.055872;67.4704;78.3498;89.4457;66.3752
2;200;318;0.055616;14.4274;16.9913;19.3074;14.2578
2;200;591;0.05664;27.2871;32.0113;36.2795;26.6405
2;200;437;0.056256;19.8174;23.3984;26.5078;19.5623
2;200;233;0.053824;10.3881;12.1961;13.9106;10.2889
2;200;14;0.053728;0.578144;0.672928;0.77536;0.614784
2;200;386;0.053344;18.2149;20.9821;23.9721;17.7748
2;200;90;0.056768;4.2096;5.00061;5.50963;4.12198
2;200;340;0.058432;16.2141;18.8102;21.1753;15.8672
2;200;292;0.055744;13.402;15.5825;17.7107;13.3147
2;200;144;0.053312;6.46992;7.71661;8.70208;6.46032
2;200;164;0.054752;7.58701;8.95942;10.0706;7.49645
2;200;164;0.055584;7.53853;8.87271;10.0524;7.53104
2;200;304;0.05552;14.104;16.5854;18.7352;14.0059
2;200;205;0.056736;9.33955;11.0799;12.5551;9.32739
2;200;145;0.053056;6.47562;7.62173;8.65287;6.41194
2;200;537;0.053056;24.7751;28.6943;32.4698;24.145
2;200;206;0.05296;9.40413;11.0356;12.4496;9.23049
2;200;15;0.053664;0.6216;0.735264;0.831232;0.65808
2;200;709;0.052832;32.7689;38.6663;43.8024;32.3254
2;200;226;0.077216;10.3431;11.934;13.538;10.0549
2;200;299;0.055872;13.5156;16.0025;18.0476;13.4454
2;200;126;0.053728;5.6384;6.62797;7.56247;5.6145
2;200;1207;0.053312;54.6473;64.4229;72.8975;53.8598
2;200;120;0.0536;5.31766;6.27072;7.09936;5.27728
2;200;753;0.05296;35.2023;41.3485;46.6367;34.4312
2;200;170;0.05616;7.82486;9.16925;10.4368;7.73984
2;200;125;0.05472;5.88733;6.98653;7.89069;5.88022
2;200;91;0.05536;4.23878;4.90614;5.57795;4.16918
2;200;118;0.056192;5.38685;6.33152;7.22266;5.35597
2;200;398;0.054624;18.4046;21.6083;24.7109;18.1858
2;200;305;0.054112;14.2591;16.585;18.82;13.7938
2;200;24;0.055104;1.06176;1.25571;1.42013;1.10637
2;200;219;0.05648;10.126;11.8475;13.4852;9.97335
2;200;189;0.054976;8.75059;10.2269;11.6251;8.62621
2;200;800;0.054528;36.9334;43.844;49.4175;36.5922
2;200;181;0.056032;8.30778;9.80272;11.1285;8.20682
2;200;197;0.05472;9.09798;10.6612;12.044;9.00358
2;200;392;0.053792;17.5086;20.7368;23.5138;17.3444
2;200;343;0.05296;15.332;18.0929;20.5052;15.097
2;200;1026;0.05312;47.2712;55.1002;62.8173;46.3457
2;200;496;0.053408;22.7019;26.7781;30.4596;22.5339
2;200;343;0.056064;15.3281;18.2572;20.6562;15.2258
2;200;231;0.055968;10.4499;12.2796;13.9817;10.3247
2;200;524;0.052992;24.0978;28.5327;32.2125;23.7415
2;200;354;0.055296;16.2319;19.2384;21.7819;16.1309
