dim;size;gen#;spawn(ms);sumSelect(ms);sumCross(ms);sumMutate(ms);sumEval(ms)
10;200;43;1.22192;12.3236;4.7103;2.0857;15.83
10;200;17;0.054528;4.81626;1.82285;0.788928;5.80566
10;200;366;0.056832;110.43;41.9868;18.8575;127.236
10;200;1105;0.055776;328.307;125.5;55.4331;379.016
10;200;76;0.06944;22.3978;8.60215;3.81517;26.4794
10;200;175;0.079392;51.8634;19.9176;8.76736;60.1744
10;200;536;0.05424;158.56;60.5776;26.924;183.046
10;200;143;0.05552;42.2365;16.1889;7.13354;49.0435
10;200;635;0.056992;189.155;72.2223;31.7766;218.449
10;200;23;0.056384;6.31657;2.47587;1.08723;7.70886
10;200;3;0.053184;0.56272;0.22528;0.09616;0.989216
10;200;29;0.054656;8.10528;3.15539;1.55456;9.7432
10;200;180;0.056864;52.4057;20.19;8.78461;60.9574
10;200;463;0.055008;135.566;52.0369;22.8404;157.123
10;200;39;0.053696;10.9548;4.24384;1.84534;13.0039
10;200;9;0.0544;2.30522;0.913088;0.387968;3.16483
10;200;13;0.052352;3.48483;1.36768;0.581824;4.36611
10;200;648;0.053824;191.104;73.2065;32.331;222.895
10;200;1567;0.0568;447.621;175.47;76.4737;523.78
10;200;34;0.052608;9.50525;3.74269;1.59312;11.4388
10;200;1581;0.054112;450.733;176.534;77.133;527.377
10;200;153;0.053152;43.5116;17.0022;7.43991;51.0886
10;200;191;0.053376;54.1527;21.1392;9.13549;64.1807
10;200;5;0.052768;1.12656;0.444992;0.192128;1.65446
10;200;402;0.052128;114.539;44.8935;19.6744;134.313
10;200;175;0.052352;49.3049;19.4775;8.41619;58.208
10;200;227;0.054496;64.814;25.3822;11.0415;76.1065
10;200;128;0.05472;36.4275;14.2015;6.17507;42.528
10;200;268;0.054688;76.1222;29.7957;12.8409;89.2979
10;200;599;0.05296;170.15;66.7659;28.9551;199.36
10;200;23;0.056096;6.1729;2.44592;1.0543;7.57334
10;200;16;0.051328;4.22467;1.66266;0.72448;5.25286
10;200;460;0.053376;130.983;51.4452;22.4348;154.558
10;200;4;0.053696;0.849824;0.3336;0.143616;1.33693
10;200;249;0.050784;70.7819;27.6555;12.0186;83.846
10;200;173;0.05472;49.2341;19.2456;8.3311;57.9024
10;200;295;0.051744;83.7284;32.9154;14.382;98.3296
10;200;187;0.053152;52.5838;20.8102;9.05091;62.5423
10;200;118;0.05424;33.2215;13.0719;5.76525;39.2138
10;200;754;0.053952;215.989;84.286;36.7514;252.559
10;200;15;0.055872;4.05117;1.57354;0.691424;5.16429
10;200;457;0.052736;131.555;51.3073;22.3806;154.309
10;200;307;0.054912;87.3713;34.0866;14.7758;101.483
10;200;102;0.05328;28.7466;11.2762;4.92314;34.0847
10;200;119;0.055008;33.6019;13.1442;5.7089;39.5371
10;200;290;0.054016;82.4278;32.3023;14.0422;96.3434
10;200;490;0.053792;139.071;54.634;23.7255;162.863
10;200;270;0.05296;76.9257;30.0984;13.2916;90.4041
10;200;431;0.055648;122.223;48.0593;20.8725;144.113
10;200;351;0.071552;99.4729;39.0578;16.9764;116.271
