dim;size;gen#;spawn(ms);sumSelect(ms);sumCross(ms);sumMutate(ms);sumEval(ms)
5;200;312;0.115808;15.4315;25.2509;20.678;20.9789
5;200;604;0.11712;32.2625;52.1774;41.8273;42.7106
5;200;65;0.118432;3.86006;5.71053;4.54461;4.74064
5;200;160;0.11632;8.97853;13.7975;11.116;11.8822
5;200;419;0.117248;25.5837;36.4744;31.0764;30.7137
5;200;252;0.11792;12.9881;22.5765;17.2462;17.2553
5;200;549;0.124352;27.6762;45.1918;36.0977;37.7873
5;200;95;0.1168;4.54138;7.56659;6.12486;6.41895
5;200;355;0.11536;17.4407;28.6869;23.1553;23.7845
5;200;49;0.112736;2.36979;4.12403;3.22278;3.25062
5;200;30;0.11488;1.42778;2.39184;1.87117;2.03782
5;200;131;0.11488;6.46109;10.5305;8.64352;9.01005
5;200;685;0.119072;34.3163;55.8226;45.0362;45.9101
5;200;295;0.110816;14.9302;24.059;19.5143;20.1383
5;200;790;0.11552;38.7557;63.5955;51.5494;52.4483
5;200;220;0.11168;11.1127;17.9271;14.9097;14.9337
5;200;462;0.115648;23.1334;37.578;30.6544;30.7358
5;200;66;0.115872;3.32778;5.26051;4.24531;4.3121
5;200;524;0.115296;25.9663;42.1483;34.4008;34.599
5;200;321;0.117024;15.6597;25.6903;20.9356;21.3964
5;200;855;0.115104;41.6308;68.1119;55.3776;56.1844
5;200;1798;0.11584;88.1564;144.668;117.435;118.802
5;200;161;0.114592;7.82803;12.903;10.6108;10.6713
5;200;381;0.115776;18.6368;30.51;24.5713;25.0686
5;200;267;0.115712;12.9306;21.3165;17.4959;17.5573
5;200;357;0.116288;17.2714;28.3214;23.0497;23.3547
5;200;192;0.18912;9.52;15.238;12.334;12.6882
5;200;21;0.11568;0.973696;1.58541;1.33222;1.41085
5;200;506;0.114304;24.7229;40.4861;33.1065;33.3544
5;200;17;0.115296;0.78256;1.25635;1.02432;1.14058
5;200;277;0.115872;13.5313;22.1707;17.8376;18.2131
5;200;108;0.114624;5.23526;8.61277;6.9865;7.03917
5;200;156;0.121824;7.62698;12.552;10.1336;10.2173
5;200;175;0.115232;8.49498;13.9913;11.377;11.4288
5;200;307;0.114752;15.2178;24.7601;20.074;20.3856
5;200;179;0.14464;8.83699;14.4092;11.7111;12.0256
5;200;364;0.137376;18.588;29.3485;24.9893;24.4005
5;200;69;0.117472;3.79552;6.18038;5.87418;4.69955
5;200;531;0.114752;26.5209;42.7846;35.1234;35.5937
5;200;315;0.115904;15.5422;25.2575;20.4535;21.0388
5;200;209;0.113888;10.1547;16.8903;13.5003;13.9513
5;200;451;0.1136;22.2053;36.5883;29.4279;30.2086
5;200;5;0.115744;0.193856;0.315008;0.253472;0.324928
5;200;4;0.11472;0.159936;0.236928;0.192512;0.265792
5;200;358;0.115872;17.9063;28.607;23.3554;24.2067
5;200;139;0.117472;6.92451;11.1628;9.01744;9.25658
5;200;1027;0.11408;51.743;83.3517;67.5538;69.6366
5;200;373;0.118848;18.6647;29.9436;24.178;25.8239
5;200;463;0.115648;24.9338;41.0047;31.3668;33.0524
5;200;41;0.114944;2.23238;3.32378;2.77453;2.85616
